,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NUMBER_OF_TREES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,ROAD_CODE,SCREEN_TREE_NO,SERIAL_NO,STAND_MAKEUP,STATUS,STATUS_DATE,TREE_GENUS,TREE_SPECIES,TREE_VARIETY,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
177,,,,,,"Screen Trees; Guy Richardson Park, 16940 Friesian Dr",1001441081,16940,0,20000926,0728-000000167,"In the park, Screen ref 1",Parks,,076,,,21,"Guy Richardson Park, 16940 Friesian Dr",Park,Parks,Guy Richardson Park,,05760,1,,,OPERATING,20040826091100,Ilex,aquifolium,,,,,,
178,,,,,,"Screen Trees; Guy Richardson Park, 16940 Friesian Dr",1001441082,16940,0,20000926,0728-000000168,"In the park, Screen ref 2",Parks,,076,,,4,"Guy Richardson Park, 16940 Friesian Dr",Park,Parks,Guy Richardson Park,,05760,2,,,OPERATING,20040826091200,Ilex,aquifolium,,,,,,
179,,,,,,"Screen Trees; Guy Richardson Park, 16940 Friesian Dr",1001441083,16940,0,20000926,0728-000000169,"In the park, Screen ref 3",Parks,,076,,,8,"Guy Richardson Park, 16940 Friesian Dr",Park,Parks,Guy Richardson Park,,05760,3,,,OPERATING,20040826091300,Ilex,aquifolium,,,,,,
180,,Mixed conifer,,,,"Screen Trees; Bucci Park, 8594 166 St",1001441084,08594,0,20000907,0728-000000104,"In the park, Screen ref 1",Parks,,045,,20121016,18,"Bucci Park, 8594 166 St",Park,Parks,Bucci Park,,16600,1,,,OPERATING,20040825110300,,,,,,,,
181,,,,,,"Screen Trees; Fleetwood Meadows Park, 16267 87 Ave",1001441085,16267,0,20000913,0728-000000149,"In the park, Screen ref 1",Parks,,045,,,18,"Fleetwood Meadows Park, 16267 87 Ave",Park,Parks,Fleetwood Meadows Park,,08700,1,,,OPERATING,20040826082600,Thuja,plicata,,,,,,
182,,,,,,"Screen Trees; Fleetwood Meadows Park, 16267 87 Ave",1001441086,16267,0,20000913,0728-000000150,"In the park, Screen ref 2",Parks,,045,,,8,"Fleetwood Meadows Park, 16267 87 Ave",Park,Parks,Fleetwood Meadows Park,,08700,2,,,OPERATING,20040826082700,Thuja,plicata,,,,,,
183,,,,,,"Screen Trees; Cottonwood Park, 16144 78 Ave",1001441087,16144,0,20000907,0728-000000135,"In the park, Screen ref 1",Parks,,055,,,29,"Cottonwood Park, 16144 78 Ave",Park,Parks,Cottonwood Park,,07800,1,,,OPERATING,20040826081100,Thuja,occidentalis,,,,,,
184,,,,,,"Screen Trees; Cottonwood Park, 16144 78 Ave",1001441088,16144,0,20000907,0728-000000136,"In the park, Screen ref 2",Parks,,055,,,24,"Cottonwood Park, 16144 78 Ave",Park,Parks,Cottonwood Park,,07800,2,,,OPERATING,20040826081200,Thuja,occidentalis,,,,,,
185,,,,,,"Screen Trees; Coyote Creek Park, 8077 156 St",1001441089,08077,0,20000906,0728-000000140,"In the park, Screen ref 1",Parks,,044,,,4,"Coyote Creek Park, 8077 156 St",Park,Parks,Coyote Creek Park,,15600,1,,,OPERATING,20040826081500,Thuja,plicata,,,,,,
186,,Mixed conifer  2 cedars in the screen are dead and need to be removed,,,,"Screen Trees; Maple Green Park, 8959 150 St",1001441090,08959,0,20000828,0728-000000189,"In the park, Screen ref 1",Parks,,033,,20121016,39,"Maple Green Park, 8959 150 St",Park,Parks,Maple Green Park,,15000,1,,,OPERATING,20040826095000,,,,,,,,
187,,Mixed conifer,,,,"Screen Trees; 34G - Greenbelt, 15452 90A Ave",1001441091,15452,0,20000829,0728-000000043,"In the park, Screen ref 1",Parks,,034,,20121016,10,"34G - Greenbelt, 15452 90A Ave",Park,Parks,34G - Greenbelt,,09050,1,,,OPERATING,20040825091800,,,,,,,,
188,,Mixed conifer,,,,"Screen Trees; 34G - Greenbelt, 15452 90A Ave",1001441092,15452,0,20000829,0728-000000044,"In the park, Screen ref 2",Parks,,034,,20121016,33,"34G - Greenbelt, 15452 90A Ave",Park,Parks,34G - Greenbelt,,09050,2,,,OPERATING,20040825092000,,,,,,,,
189,,Mixed conifer,,,,"Screen Trees; 34G - Greenbelt, 15452 90A Ave",1001441093,15452,0,20000829,0728-000000045,"In the park, Screen ref 3",Parks,,034,,20121016,72,"34G - Greenbelt, 15452 90A Ave",Park,Parks,34G - Greenbelt,,09050,3,,,OPERATING,20040825092200,,,,,,,,
190,,Mixed conifer,,,,"Screen Trees; 34G - Greenbelt, 15452 90A Ave",1001441094,15452,0,20000829,0728-000000046,"In the park, Screen ref 4",Parks,,034,,20121016,34,"34G - Greenbelt, 15452 90A Ave",Park,Parks,34G - Greenbelt,,09050,4,,,OPERATING,20040825092200,,,,,,,,
191,,,,,,"Screen Trees; Kilkee Drive Park, 5804 Kilkee Dr",1001441096,05804,0,20000925,0728-000000184,"In the park, Screen ref 1",Parks,,074,,,65,"Kilkee Drive Park, 5804 Kilkee Dr",Park,Parks,Kilkee Drive Park,,15469,1,,,OPERATING,20040826094400,Thuja,plicata,,,,,,
192,,,,,,"Screen Trees; Panorama Park, 12863 60 Ave",1001441101,12863,0,20000921,0728-000000213,"In the park, Screen ref 1",Parks,,071,,,6,"Panorama Park, 12863 60 Ave",Park,Parks,Panorama Park,,06000,1,,,OPERATING,20040826102400,Pseudotsuga,menziesii,,,,,,
193,,,,,,"Screen Trees; Panorama Park, 12863 60 Ave",1001441102,12863,0,20000921,0728-000000214,"In the park, Screen ref 2",Parks,,071,,,134,"Panorama Park, 12863 60 Ave",Park,Parks,Panorama Park,,06000,2,,,OPERATING,20040826102500,Thuja,plicata,,,,,,
194,,Mixed conifer,,,,"Screen Trees; Amelia Adams Park, 8546 121A St",1001441105,08546,0,20000830,0728-000000072,"In the park, Screen ref 1",Parks,,040,,20121016,34,"Amelia Adams Park, 8546 121A St",Park,Parks,Amelia Adams Park,,12150,1,,,OPERATING,20040825100500,,,,,,,,
