,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
12156,PTN LT A PL EP13845 (PL BCP12292),BCP10000,7802-0284,Public Access,E2004-0082,Municipal Right of Way,Registered,0,2004
12157,PTN LT 4 PL 6098,53133,4515,Sanitary,E1977-0795,Municipal Right of Way,Partial Release,0.193,1977
12158,PTN LT 6 PL 6364 (LTS 1-2 PL LMP13971),79139,7887-4120,Public Access,E1988-0499,Municipal Right of Way,Registered,0,1988
12159,PTN LT 3 PL 5244,LMP53489,4800-404,Multiple Facilities,E2001-0141,Municipal Right of Way,Registered,0,2002
12160,S 5 FT LT 6 BLK 15 PL 16417,,2054-002,Multiple Facilities,E1986-0792,Municipal Right of Way,Registered,1.524,1956
12161,PTN W 1/2 LOT A PL 2132 (PL 50869),43151,2968,Sanitary,E1973-0003,Municipal Right of Way,Registered,3.048,1973
12162,PTN LT 12 PL 8239(GVS & DD)(LT4 PL79343),51425,4227,Sanitary,E1976-0039,Municipal Right of Way,Registered,0,1977
12163,PTN (1.5m WIDE) LT 114 PL 55098,70570,4885-594,Drainage,E1985-0305,Municipal Right of Way,Registered,1.5,1985
12164,PTN LT 5 PL 86780,88272,7888-0457,Drainage,E1991-0080,Municipal Right of Way,Initiated,5,
12165,PTN LT 36 PL BCP14927,BCP18678,7802-0358,Multiple Facilities,E2004-0478,Municipal Right of Way,Registered,0.5,2005
12166,PTN LT B PL BCP288 (LT 52 PL BCP936),BCP289,7800-0352,Water,E2002-0423,Municipal Right of Way,Registered,0.5,2002
12167,PTN LT 10 PL 77171,65707,5350-001,Sanitary,E1988-0582,Municipal Right of Way,Registered,3,1989
12168,PTN LT 123 PL BCP351,BCP353,7801-0188,Multiple Facilities,E2002-0323,Municipal Right of Way,Registered,0.5,2002
12169,PTN LT 141 PL 58459,58486,4790,Multiple Facilities,E1979-0239,Municipal Right of Way,Registered,3,1980
12170,PTN LT 2 PL 11352 (PLS 85268 & LMP2487),84580,7888-0423,Sanitary,E1990-0111,Municipal Right of Way,Initiated,3,
12171,PTN (3m WIDE) LT A PL 70679,70621,7885-279,Multiple Facilities,E1985-0402,Municipal Right of Way,Registered,3,1985
12172,PTN LT 7 PL LMP10698,LMP16085,7889-0467,Multiple Facilities,E1994-0116,Municipal Right of Way,Registered,2,1994
12173,PTN LT 4 PL 7239 (LTS 3-4 PL LMP10112),LMP9147,7891-0270,Public Access,E1993-0069,Municipal Right of Way,Registered,0,1993
12174,PTN LT 10 PL 1743 (LTS 6-7 PL LMP14824),22247,2054-002,Drainage,E1986-0259,Municipal Right of Way,Registered,3.048,1960
12175,PTN LT 7 BK 1 PL 616 (LT A RP83418),68687,5350-001,Sanitary,E1984-0241,Municipal Right of Way,Registered,2,1984
12176,PTN LT A BL47278 (PL 76229 & 76992),75596,7887-2511,Sanitary,E1987-0369,Municipal Right of Way,Registered,3,1987
12177,PTN LT 70 PL BCP 14927,BCP18678,7802-0358,Multiple Facilities,E2004-0518,Municipal Right of Way,Registered,0.5,2005
12178,PTN REM T PL 24277,78675,7887-4120,Multiple Facilities,E1988-0378,Municipal Right of Way,Registered,5,1988
12179,PTN LT 18 PL 19690,16517,2054-002,Multiple Facilities,E1986-0205,Municipal Right of Way,Registered,0.914,1959
12180,PTNS LT B PL W/FEE 6798F,LMP42946,4897-080,Drainage,E1998-0021,Municipal Right of Way,Registered,4,1999
12181,PTN LT 1 PL 67898,BCP914,1702-3050,Sidewalk,E2002-0117,Municipal Right of Way,Registered,1.5,2002
12182,PTN LT 58 PL 20878,LMP15226,7891-1413,Drainage,E1993-0008,Municipal Right of Way,Registered,3,1994
12183,PTN LT 4 PL 13543 (LT 2 PL LMP13971),LMP7825,7891-0162,Multiple Facilities,E1993-0028,Municipal Right of Way,Registered,0,1993
12184,PTN LT 4 PL LMP32675,LMP48324,7800-0290,Multiple Facilities,E2001-0001,Municipal Right of Way,Registered,0.942,2001
12185,PTN LT 2 PL 80668 (LMP51462),LMP50126,7896-0097,Multiple Facilities,E2001-0165,Municipal Right of Way,Registered,1.5,2001
12186,W 8 FT & N & S 5 FT LT 11 BLK15 PL 15423,,2054-002,Multiple Facilities,E1986-0803,Municipal Right of Way,Registered,0,1955
12187,PTN LT 8 PL 68325 (LMS2416),79656,5350-001,Water,E1992-0498,Municipal Right of Way,Registered,0,1989
12188,PTN NW of NE 1/4 SEC 32 TP 8,LMP5525,N/A,Terasen Gas,N/A,Utility Right of Way,Registered,15.2,1992
12189,PTN LT 28 PL 4131 (LMP34913 & LMP36512),LMP33837,7896-0085,Multiple Facilities,E1997-0178,Municipal Right of Way,Registered,5,1997
12190,PTN LT 63 PL 33200 (PROVINCIAL),8906,2054-002,Drainage,E1986-1199,Municipal Right of Way,Registered,6.096,1943
12191,PTN LT 26 PL 82688 (LT 43 PL 86797),85746,7888-0390,Multiple Facilities,E1990-0316,Municipal Right of Way,Registered,3,1990
12192,N 8 FT LT 4 PL 17753,,2054-002,Drainage,E1986-0407,Municipal Right of Way,Registered,2.438,1957
12193,PTN LT 431 PL 67753,73178,7882-467,Sanitary,E1986-1601,Municipal Right of Way,Registered,0,1987
12194,N 10 FT LOT 6 PLAN 17929,,2054-002,Multiple Facilities,E1984-0306,Municipal Right of Way,Registered,3.048,1963
12195,PTN LT C PL 17457 (PL BCP8715),LMP50222,3975,Drainage,E2001-0163,Municipal Right of Way,Registered,3,2004
12196,PTN LT 1 PL 16611 (LT 122 PL 67113),67112,7883-173,Drainage,E1983-0266,Municipal Right of Way,Registered,3,1983
12197,PTN E PTN LT9 BLK1 PL1698 (LT E RP60083),57132,4068,Drainage,E1975-0083,Municipal Right of Way,Registered,20.117,1977
12198,PTN LT 6 PL 21256,67686,1796013,Public Access,E1996-0138,Municipal Right of Way,Registered,6.096,1997
12199,PTN LT 34 PL 64399 (PL 69897),69737,7884-412,Drainage,E1985-0199,Municipal Right of Way,Registered,3,1985
12200,PTN REM E 1/2 LT 20 PL 8752 (PL 74992),74041,7886-6880,Drainage,E1987-0071,Municipal Right of Way,Registered,3,1987
12201,PTN LT 37 PL 38901 (LTS 1-2 PL LMP4203),LMP2597,7890-0100,Multiple Facilities,E1991-0404,Municipal Right of Way,Registered,1.35,1992
12202,PTN LT 1 RP82064 (PL BCP13644),LMP43772,4898-402,Multiple Facilities,E1999-0070,Municipal Right of Way,Registered,0,1999
12203,PTN (4 FT WIDE) LT 16 BLK C PL 16043,16089,2054-002,Multiple Facilities,E1986-0630,Municipal Right of Way,Registered,1.219,1955
12204,LT 45 PL 70694,70694,7885-2831,Drainage,E1985-0289,Municipal Right of Way,Registered,0,1986
12205,PTN LT B PL 6961,BCP18436,1704-319,Multiple Facilities,E2005-0143,Municipal Right of Way,Registered,0,2005
12206,PTN LT A PL LMP2360 (LT 20 PL LMP2570),,7887-5890,Public Access,E1991-0398,Municipal Right of Way,Initiated,0,
12207,PTN W 10 FT LT 12 PL 13035,,3516,Sanitary,E1974-0036,Municipal Right of Way,Registered,3.048,1974
12208,PTN LT 16 BLK 4 PL 1755,53133,4515,Sanitary,E1977-0807,Municipal Right of Way,Registered,2.134,1977
12209,PTN LT 1 PL LMP21759,LMP25194,7892-0106,Sanitary,E1995-0234,Municipal Right of Way,Registered,3,1996
12210,PTN LT 53 PL 30451,BCP1837,4700-901,Sanitary,E2001-0216,Municipal Right of Way,Registered,0,2002
12211,PTN LT 1 PL 10905 (LT 2 PL 78809),56293,4516,Sanitary,E1978-0237,Municipal Right of Way,Registered,1.5,1979
12212,W 6 FT LT 6 PL 19605,,2054-002,Drainage,E1986-0942,Municipal Right of Way,Registered,1.829,1962
12213,PTN LT 201 PL BCP6715,BCP6716,7802-0240,Multiple Facilities,E2003-0253,Municipal Right of Way,Registered,0.5,2003
12214,PART OF 12.96 AC PTN PL 10769,LMP44510,4899-052,Drainage,E1999-0125,Municipal Right of Way,Initiated,6,1999
12215,PTN LT 1 PL LMP34571(LMS3678),LMP34578,7996-0101,Public Access,E1997-0241,Municipal Right of Way,Registered,0,1997
12216,PTN L 1 SEC 31 TP2 PLBCP10618,BCP10620,N/A,Terasen Gas,N/A,Utility Right of Way,Registered,VAR,2004
12217,PTN Rem S 1/2 OF S1/2 LT 15 (PL 79714),79346,7884-4294,Multiple Facilities,E1988-0547,Municipal Right of Way,Registered,2,1988
12218,PTN REM 2 PL 6558,LMP36766,7894-0476,Multiple Facilities,E1998-0014,Municipal Right of Way,Registered,3,1998
12219,PTN S 10 ft LT 28 PL9638(LT A PL61693),,2671,Sanitary,E1970-0153,Municipal Right of Way,Registered,3.048,1970
12220,PTN N 10 FT LT 93 PL 35961,36322,,Sanitary,E069-0054,Municipal Right of Way,Registered,3.048,1969
12221,E 10 FT LT 35 PL 19521,,,Drainage,E068-0008,Municipal Right of Way,Registered,3.048,1968
12222,PTN LT C PL 23528,BCP12195,7802-0127,Multiple Facilities,E2004-0326,Municipal Right of Way,Registered,0.5,2004
12223,PTN N 10 FT LT 5 PL 11160,,2789,Sanitary,E1971-0198,Municipal Right of Way,Registered,3.048,1972
12224,PTN E 8 FT LT 24 BLK 3 PL 529A,,3522,Sanitary,E1974-0152,Municipal Right of Way,Registered,2.438,1974
12225,PTN LT 1 PL 5183 (LT 19 PL 63707),63406,7881-210,Multiple Facilities,E1981-0415,Municipal Right of Way,Partial Release,3,1981
12226,W 10 FT LT 23 PL 34978,,1304,Drainage,E1975-0274,Municipal Right of Way,Registered,3.048,1975
12227,PTN LT 74 PL 65967,BL1106,2054-002,Drainage,E1986-0903,Municipal Right of Way,Registered,3.048,1951
12228,PTN (3m WIDE) NW183,57005,6060,Drainage,E1979-0108,Municipal Right of Way,Registered,3,1979
12229,PTN LT A EP10204 (LT 2 PL 76694),75698,7886-5270,Drainage,E1987-0405,Municipal Right of Way,Registered,3,1987
12230,PTN LT 1 PL LMP24916,LMP25469,7892-0609,Multiple Facilities,E1995-0261,Municipal Right of Way,Registered,0,1996
12231,PTN S 209 FT LT 3 PL 5183 (PL 72328),71763,7885-0710,Multiple Facilities,E1986-0889,Municipal Right of Way,Registered,4,1986
12232,PTN LT B BLK 33 PL 1698 (CAN PL 34926),52782,4515,Sanitary,E1977-0395,Municipal Right of Way,Registered,1.524,1977
12233,PTN LT 3 PL LMP34913,LMP51841,7899-0124,Multiple Facilities,E2001-0319,Municipal Right of Way,Registered,6,2001
12234,PTN LT A PL LMP46915,LMP46916,7896-0200,Sanitary,E2000-0167,Municipal Right of Way,Registered,5,2000
12235,PTN LT 45 PL 2163 (LT 120-123 PL 53614),53350,9102,Multiple Facilities,E1977-1132,Municipal Right of Way,Registered,0,1977
12236,PTN LT 3 PL 78979 (LMS2932),87106,7888-0389,Multiple Facilities,E1990-0610,Municipal Right of Way,Registered,3,1990
12237,PTN LT 3 PL LMP10698 (LMS1401),LMP10700,7889-0467,Public Access,E1993-0058,Municipal Right of Way,Registered,0,1993
12238,PTN LT 2 PL 5556 (LT 26 PL 77483),75978,7887-0761,Multiple Facilities,E1987-0465,Municipal Right of Way,Registered,0,1987
12239,PTN LOT 20 PLAN 5488 (LOT 89 PLAN 46714),45551,3443,Multiple Facilities,E1974-0054,Municipal Right of Way,Registered,2.073,1974
12240,PTN LT 5 PL2425,BCP8210,1797-308,Public Access,E2001-0016,Municipal Right of Way,Registered,1.5,2003
12241,PTN LT B EP17590,78959,7887-1390,Water,E1988-0454,Municipal Right of Way,Registered,3,1988
12242,PTN LT A PL 13029 (LT 288-294 PL 55083),54533,9305,Drainage,E1978-0195,Municipal Right of Way,Registered,3.047,1978
12243,PTN LT 1 PL 82140,87225,7887-3000,Sanitary,E1990-0621,Municipal Right of Way,Registered,2,1990
12244,W 3m LOT 122 PLAN 66282,66007,7880-363,Multiple Facilities,E1983-0184,Municipal Right of Way,Registered,3,1983
12245,PTN LT 3 PL 11525,BCP23873,7805-0126-00,Multiple Facilities,E2006-0238,Municipal Right of Way,Registered,VAR,2006
12246,PTN LT 1 PL 5524,BCP19594,7804-0112-00,Drainage,E2005-0476,Municipal Right of Way,Registered,6.0,2005
12247,PTN LT 86 PL 529A,BCP22207,7804-0204,Drainage,E2005-0415,Municipal Right of Way,Registered,VAR,2005
12248,PTN LT 65 PL 529A,BCP22207,7804-0204,Drainage,E2005-0419,Municipal Right of Way,Registered,VAR,2005
12249,PTN LT 6 PL5888,BCP19484,7804-0255,Multiple Facilities,E2005-0422,Municipal Right of Way,Registered,0.5,2005
12250,PTN LT 3 PL 1962,BCP18605,7804-0160,Multiple Facilities,E2005-0346,Municipal Right of Way,Registered,0.5,2005
12251,PTN LT 85 PL 36644 (LT 4 PL LMP49696),LMP48676,7800-0154,Multiple Facilities,E2001-0033,Municipal Right of Way,Registered,3,2001
12252,PTN LT 13 PL 2449 (LT 7 PL LMP21015),LMP18799,7892-0608,Drainage,E1994-0247,Municipal Right of Way,Registered,5,1994
12253,PTN LT 1 PL 70352 (LT 1 PL LMP6549),LMP4688,7851-0177,Public Access,E1992-0251,Municipal Right of Way,Registered,0,1992
12254,PTNS LT 35 PL 60120 (PL 68646),64572,A358,Public Access,E1982-0136,Municipal Right of Way,Registered,0,1984
12255,E 16 FT LOT 42 PLAN 38700,,2054-002,Drainage,E1986-0066,Municipal Right of Way,Registered,4.877,1957
12256,PTN LT 77 PL 47666,LMP45370,1799-324,BC Hydro,E2000-0024,Municipal Right of Way,Registered,20,2000
12257,PTN LT 27 PL 32905 (LTS 263/264 PL56399),56056,9438,Drainage,E1979-0006,Municipal Right of Way,Registered,3,1979
12258,PTN LT 1 PL 13318,BCP14051,7804-0246,Public Access,E2004-0628,Municipal Right of Way,Registered,1,2005
12259,PTN LT 21 PL 40011,85622,7890-0192,Sanitary,E1990-0289,Municipal Right of Way,Registered,5.5,1990
12260,PTN PCL H PL EP11335,BCP18178,7803-0335,Drainage,E2005-0295,Municipal Right of Way,Registered,,2005
12261,PTN LT 214 PL BCP6715,BCP6716,7802-0240,Multiple Facilities,E2003-0242,Municipal Right of Way,Registered,0.5,2003
12262,PTN L 8 PL18413,74217,7886-4990,Multiple Facilities,E1987-0097,Municipal Right of Way,Registered,3.00,1987
12263,PTN LTS 34 & 35 PL 71098,69589,7884-078,Multiple Facilities,E1985-0162,Municipal Right of Way,Registered,2.75,1985
12264,PTN LT 57 & 58 PL BCP9093,BCP6071,7802-0261,Multiple Facilities,E2003-0380,Municipal Right of Way,Registered,0.5,2003
12265,PTN LT B EP8479 (LT 1 RP72407),50805,2054-002,Water,E1986-0174,Municipal Right of Way,Registered,6.096,1977
12266,PTN LT 148 PL 45742 (NW1824),47479,3324,Multiple Facilities,E1975-0006,Municipal Right of Way,Registered,0,1975
12267,PTN LOT 230 PLAN 47444,47445,2224,Public Access,E1974-0435,Municipal Right of Way,Registered,3.048,1974
12268,PTN LT A PL LMP35060 (LMS3298),LMP35061,7896-0162,Multiple Facilities,E1997-0214,Municipal Right of Way,Registered,0,1997
12269,PTN LT 91 PL 41920 (LTS 5-8 PL 84699),83337,7888-0656,Sanitary,E1989-0460,Municipal Right of Way,Registered,0.5,1989
12270,PTN (15 FT WIDE)LT 3 PL9556 (LT A PL9556,50660,2906,Drainage,E1976-0241,Municipal Right of Way,Registered,4.572,1976
12271,PTN LT A PL 60600(Park 73-02 PL LMP1123),87884,7883-2040,Multiple Facilities,E1991-0060,Municipal Right of Way,Registered,5,1991
12272,PTN LT 10 PL 1752 (GVS & DD),43170,2054-002,Sanitary,E1986-1326,Municipal Right of Way,Registered,0,1974
12273,PTN REM W 1/2 NE 1/4,LMP43772,4898-402,Multiple Facilities,E1999-0071,Municipal Right of Way,Registered,0,1999
12274,PTN LT 73 PL 65923,BCP9747,7803-0175,Multiple Facilities,E2004-0061,Municipal Right of Way,Registered,5,2004
12275,PTN LT 42 PL 32657 (LT 9 PL LMP2487),LMP1645,7889-0323,Public Access,E1991-0301,Municipal Right of Way,Registered,0,1991
12276,PTN LT 5 PL 1300,LMP53494,7800-0249,Emergency,E2002-0185,Municipal Right of Way,Registered,0,2002
12277,PTN LT 14 PL LMP24916 (PL LMP42689),LMP24917,7892-0609,Multiple Facilities,E1995-0133,Municipal Right of Way,Registered,6,1995
12278,PTN E 1/2 LT 8 PL 5364 (PL BCP488),LMP52383,7800-0307,Drainage,E2002-0060,Municipal Right of Way,Registered,4,2002
12279,PTN Rem 9 PL 1067 (LT 2 PL LMP12491),LMP11421,7892-0034,Multiple Facilities,E1993-0306,Municipal Right of Way,Registered,0,1993
12280,PTN LT 2 PL LMP13621,LMP14988,7891-0151,Public Access,E1994-0037,Municipal Right of Way,Registered,0,1994
12281,S 8 FT LT 449 PL 63042,,2054-002,Drainage,E1986-0129,Municipal Right of Way,Registered,2.438,1953
12282,PTN LT 7 PL 19384 (NW3228),81280,7887-4560,Public Access,E1989-0187,Municipal Right of Way,Registered,0,1989
12283,PTN LT 21 PL 62676,50861C,2054-002,Dyke,E1986-1063,Municipal Right of Way,Registered,VAR,1986
12284,,BCP11483,7803-0359,Multiple Facilities,E2004-0192,Municipal Right of Way,Registered,2.2,2004
12285,PTN Rem 1 PL 5791 (LTS 11 & 39 PL 82252),80772,7887-5010,Multiple Facilities,E1989-0070,Municipal Right of Way,Registered,5,1989
12286,PTN LT 6 PL LMP29085,LMP30198,7891-0415,Drainage,E1996-0205,Municipal Right of Way,Registered,0,1996
12287,PTN W 1/2 LT 2 PL 6427,BCP9938,7802-0343,Multiple Facilities,E2004-0088,Municipal Right of Way,Registered,0.5,2004
12288,PTN LT 26 PL 24991,BCP13628,7802-0099,Drainage,E2004-0454,Municipal Right of Way,Registered,6,2004
12289,PTN REM 19 SEC 23 TP 2 PL11390(LMP53180),LMP46205,4899-001,Drainage,E1999-0386,Municipal Right of Way,Registered,0,2000
12290,PTNS LT 10 PL 8668 (PL 55288),54393,9066,Multiple Facilities,E1978-0088,Municipal Right of Way,Registered,1.524,1978
12291,PTN LT 44 PL BCP 14927,BCP18678,7802-0358,Multiple Facilities,E2004-0488,Municipal Right of Way,Registered,0.5,2005
12292,PTN (10 FT WIDE) N 1/2 NW 1/4 (PL 39948),,,Drainage,E1971-0077,Municipal Right of Way,Registered,3.048,1971
12293,N 10 FT LT 2 PL 14362,,2054-002,Multiple Facilities,E1984-0323,Municipal Right of Way,Registered,3.048,1962
12294,PTN LT 1 PL 7509,81547,7888-0444,Public Access,E1989-0212,Municipal Right of Way,Registered,2,1989
12295,PTN LT 23 PL 78313 (LT 11 PL 79034),78702,7887-3083,Drainage,E1988-0393,Municipal Right of Way,Registered,3,1988
12296,PTN LT 6 PL 10194,LMP43168,7898-0265,Sanitary,E1999-0337,Municipal Right of Way,Registered,0,1999
12297,,302618C,N/A,Terasen Gas,N/A,Utility Right of Way,Registered,VAR,
12298,,L49584,N/A,BC Hydro,N/A,Utility Right of Way,Registered,VAR,
12299,PTN Pcl A RP7929 (LT 1 PL LMP33663),LMP32259,7893-0374,Multiple Facilities,E1997-0072,Municipal Right of Way,Registered,0,1997
12300,PTN (4 FT WIDE) LT 19 BLK H PL 16043,16089,2054-002,Multiple Facilities,E1986-0692,Municipal Right of Way,Registered,1.219,1955
12301,PTN LT 197 PL BCP6715,BCP6716,7802-0240,Multiple Facilities,E2003-0257,Municipal Right of Way,Registered,0.5,2003
12302,"PTN LT 39 PL 70605 (LTS 37, 56 PL7 6071)",75713,7886-2250,Drainage,E1987-0400,Municipal Right of Way,Registered,3,1987
12303,PTN LT 1 PL LMP6959 (LMS879,LMP6963,7889-0574,Public Access,E1992-0384,Municipal Right of Way,Registered,0,1992
12304,PTN N 970 Ft LT A RP8612 (GVS&DD),42012,2054-002,Sanitary,E1986-1317,Municipal Right of Way,Registered,4.572,1974
12305,PTN LT 5 PL LMP42537,LMP46594,7899-0248,Multiple Facilities,E2000-0180,Municipal Right of Way,Registered,0,2000
12306,PTN LT 23 PL 28869,BCP18655,7804-0039,Multiple Facilities,E2005-0345,Municipal Right of Way,Registered,VAR,2005
12307,PTN LT 7 PL 24582,BCP20337,7803-0166,Multiple Facilities,E2005-0524,Municipal Right of Way,Registered,0.5,2005
12308,PTN LT 7 PL 24582,BCP20337,7803-0166,Multiple Facilities,E2005-0527,Municipal Right of Way,Registered,0.5,2005
12309,PTN LT 36 PL 46652,BCP17665,7803-0268,Multiple Facilities,E2005-0223,Municipal Right of Way,Registered,0.5,2005
12310,PTN LT B PL RP3263,BCP22105,7805-0003,Multiple Facilities,E2006-0082,Municipal Right of Way,Registered,0.5,2006
12311,PTN LT B PL RP3263,BCP22105,7805-0003,Multiple Facilities,E2006-0095,Municipal Right of Way,Registered,0.5,2006
12312,PTN LT B PL RP3263,BCP22105,7805-0003,Multiple Facilities,E2006-0089,Municipal Right of Way,Registered,0.5,2006
12313,PTN LT B PL RP3263,BCP22105,7805-0003,Multiple Facilities,E2006-0102,Municipal Right of Way,Registered,1.5,2006
12314,PTN LT E 1/2 LS 16 SEC 14 TP1 NWD,BCP20095,7804-0112,Multiple Facilities,E2005-0461,Municipal Right of Way,Registered,10.0,2005
12315,PTN LT 9 PL 8895,BCP22744,7804-0315-00,Multiple Facilities,E2006-0132,Municipal Right of Way,Registered,0.5,2006
12316,PTN LT 2 PL 81808,BCP11660,5350-001,Multiple Facilities,E2005-0022,Municipal Right of Way,Registered,4.572,2004
12317,PTN LT 21 PL 17392,LMP53417,7801-0205,Public Access,E2002-0172,Municipal Right of Way,Registered,0,2002
12318,PTN LT 51 PL26859 (PL76644 & BCP13994),76145,7887-2950,Sanitary,E1987-0491,Municipal Right of Way,Registered,3,1987
12319,PTN LT 3 PL 82028,82029,7888-0364,Drainage,E1989-0197,Municipal Right of Way,Registered,3,1989
12320,PTL LT  PL 1435,BCP30351,7806-0228,Multiple Facilities,E2007-0504,Municipal Right of Way,Registered,0.5,2007
12321,PTN LT 7 PL 6519,EPP68150,7812-0290-00,Multiple Facilities,E2016-0633,Municipal Right of Way,Initiated,3.0,2016
12322,PTN PCL A DL 8 PL 546 (LT 2 PL LMP23985),LMP23984,5350-001,Multiple Facilities,E1994-0265,Municipal Right of Way,Registered,10.1,1995
12323,PTN LT 7 PL 6519,EPP68149,7812-0290-00,Multiple Facilities,E2016-0640,Municipal Right of Way,Initiated,0.5,2016
12324,PTN LT A PL LMP40631 (LMP46878),LMP46305,7895-0288,Multiple Facilities,E2000-0156,Municipal Right of Way,Registered,0,2000
12325,PTN LOT 234 PLAN 47289 (PLAN 48838),47792,3734,Multiple Facilities,E1975-0056,Municipal Right of Way,Registered,4.267,1975
12326,PTN LT 67 PL 36089,EPP63707,5400-60,BC Combined,E2017-0110,Municipal Right of Way,Registered,VAR,2016
12327,PTN N 1/2 LT 20 PL4046(LTS 1 & 8 PL86715,79020,7886-6800,Drainage,E1988-0428,Municipal Right of Way,Registered,0,1988
12328,S 5 FT LT 7 BLK 11 PL 15617,,2054-002,Multiple Facilities,E1986-0740,Municipal Right of Way,Registered,1.524,1955
12329,PTN LT 161 PL BCP6715,BCP6716,7802-0240,Multiple Facilities,E2003-0305,Municipal Right of Way,Registered,0.5,2003
12330,PTN (3m WIDE) LT 178 PL 65000,66465,7882-295,Multiple Facilities,E1983-0198,Municipal Right of Way,Registered,3,1983
12331,PTN LT 162 PL 50489 (LT 2 PL LMP12011),LMP6952,7888-0368,Multiple Facilities,E1992-0439,Municipal Right of Way,Registered,5,1993
12332,PTN PCL A LT 4 PL 1461,LMP54478,4791-321,Multiple Facilities,E1999-0248,Municipal Right of Way,Registered,5,2002
12333,PTN PCL A EP27063 (LOT 21 PLAN 67237),66740,A505,Multiple Facilities,E1983-0255,Municipal Right of Way,Registered,3,1983
12334,PTN LT 4 PL 2285 (LMP19104 & LMS2558),LMP17672,7889-0602,Multiple Facilities,E1994-0179,Municipal Right of Way,Registered,2.077,1995
12335,N 25 FT LT 80 PL 42550,,2054-002,Drainage,E1986-0102,Municipal Right of Way,Registered,7.62,1955
12336,PTN LT 9 BLK I PL 469,53002,4515,Sanitary,E1977-0605,Municipal Right of Way,Registered,1.524,1977
12337,PTN LT 44 PL 56560 (LT 80-81 PL 57778),57023,9076,Multiple Facilities,E1979-0112,Municipal Right of Way,Registered,4,1979
12338,PTN LT 4 PL 1962 (PL BCP13462),BCP12330,7803-0287,Multiple Facilities,E2004-0365,Municipal Right of Way,Registered,0.5,2004
12339,PTN S 1.5m LT 352 PL 57021,57669,9486,Sanitary,E1979-0193,Municipal Right of Way,Registered,1.5,1979
12340,PTN N 10 FT LT 92 PL 15629,,2789,Sanitary,E1971-0217,Municipal Right of Way,Registered,3.048,1972
12341,PTN LT 3 PL 32014 (LMP30559),LMP26869,7893-0443,Drainage,E1996-0029,Municipal Right of Way,Registered,5,1996
12342,PTN LT 3 PL LMP13621,LMP14988,7891-0151,Public Access,E1994-0038,Municipal Right of Way,Registered,0,1994
12343,PTN LT 10 PL 18236 (LT 16 PL 84729),83541,7888-0136,Public Access,E1989-0499,Municipal Right of Way,Registered,1,1989
12344,PTN LT 294 PL60319,BCP6691,7802-0315,Multiple Facilities,E2004-0056,Municipal Right of Way,Registered,0.5,2004
12345,"PTN LT 79 PL 74917 ( LT 65, 74 PL 77601)",76131,7886-2912,Multiple Facilities,E1988-0023,Municipal Right of Way,Registered,0,1988
12346,PTN N 10 FT LT 77 BLK 8 PL 529A,,2789,Sanitary,E1971-0239,Municipal Right of Way,Registered,3.048,1976
12347,PTN LT 7 PL 4046 (LT 11 PL 74868),74581,7886-4420,Multiple Facilities,E1987-0165,Municipal Right of Way,Registered,4.5,1987
12348,PTN LT 2 PL 9120 (LT A PL 81867),81065,7888-0204,Multiple Facilities,E1989-0149,Municipal Right of Way,Registered,3,1989
12349,PTN L5 P574 (LT332 PL56058),55757,9368,Multiple Facilities,E1978-0475,Municipal Right of Way,Registered,2.5,1978
12350,PTN LT H PL EP11335,BCP11223,7803-0033,Drainage,E2004-0205,Municipal Right of Way,Registered,5,2004
12351,PTNS LOT 413 PLAN 40348 (PL 42397),42338,3123,Multiple Facilities,E1972-0173,Municipal Right of Way,Registered,3.048,1972
12352,PTN LT A PL LMP45123,LMP45124,5698-0206,Multiple Facilities,E1999-0279,Municipal Right of Way,Registered,0,2000
12353,PTN COMMON PROPERTY LMS1001,LMP13914,7889-0586,Public Access,E1993-0506,Municipal Right of Way,Registered,2,1999
12354,PTN W 5 FT LT 94 PL 16940,,,Sanitary,E1986-0464,Municipal Right of Way,Registered,1.524,1956
12355,PTN S 165.5 FT N 1/2 LT 4 PL4217(P75724),75059,7885-2860,Sanitary,E1987-0298,Municipal Right of Way,Registered,0.5,1987
12356,PTN LT 5 PL 1360,BCP19600,7804-0136,Multiple Facilities,E2005-0496,Municipal Right of Way,Registered,0.5,2005
12357,PTN LT 5 PL 1360,BCP19600,7804-0136,Multiple Facilities,E2005-0500,Municipal Right of Way,Registered,0.5,2005
12358,PTN LT 38 PL 1361,BCP20954,7802-0283,Multiple Facilities,E2005-0569,Municipal Right of Way,Registered,0.5,2006
12359,PTN LT 20 PL 5488 (LT 12 LMP2373),LMP1626,7889-0667,Multiple Facilities,E1991-0288,Municipal Right of Way,Registered,5,1991
12360,PTN LT 1 PL 17929 (GVS & DD),46680,2054-002,Sanitary,E1986-0318,Municipal Right of Way,Registered,0,1974
12361,PTN Rem 27 PL 1670 (LT 17 PL 82589),82131,7888-0168,Public Access,E1989-0299,Municipal Right of Way,Registered,0,1989
12362,PTN LT 219 PL BCP6715,BCP6716,7802-0240,Multiple Facilities,E2003-0237,Municipal Right of Way,Registered,0.5,2003
12363,PTN LT A PL 5021 (LT 39 PL 45601),44988,3448,Multiple Facilities,E1973-0201,Municipal Right of Way,Registered,0,1974
