,ADJACENT_LAND_USE_RATING,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DEDICATED_URBAN_FOREST,DESCRIPTION,ESA_RANKING,EXPOSED_EDGE_LENGTH_M,FACILITYID,FOREST_AGE_CLASS,FOREST_TYPE,FRAGMENTATION_RATING,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,ISOLATION_RATING,LEGACYID,LOCATION,MAINTAINED_EDGE_LENGTH_M,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NATURAL_AREA_TYPE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,RIGHT_OF_WAY,RIPARIAN_AREA,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TRAIL_PRESENT,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
336,2,,Also lots of young alder; see map for refuse and invasive spp. locations. ,,,,N,"Forest; North Slope Buffer - Greenbelt, 11260 164 St",0,3905,1001438911,Mature,Mixed,0,11260,0,,2,0711-000000142,Most of park,,Parks,,005,,20180119,Forest-mixed,"North Slope Buffer - Greenbelt, 11260 164 St",Park,Parks,North Slope Buffer,,,,16400,,,OPERATING,20010817092700,Y,,,,,
337,2,,See map for condition locations; many canopy openings leading to thick shrubby understory  ,,,,N,"Forest; East View Trail, 7648 125 St",0,541,1001438840,Mature,Deciduous,2,07648,0,,3,0711-000000469,Most of park,,PARKS,,050,,20121016,Forest-deciduous,"East View Trail, 7648 125 St",Park,PARKS,East View Trail,,N,N,12500,,,OPERATING,20040824084400,Y,,,,,
338,2,,E. half of forest is young alder ,,,,N,"Forest; Sequoia Ridge Park - 54A, 15220 80 Ave",0,266,1001438843,Mature,Deciduous,3,15220,0,,2,0711-000000558,N. edge of park,,PARKS,,054,,20140110,Forest-deciduous,"Sequoia Ridge Park - 54A, 15220 80 Ave",Park,PARKS,Sequoia Ridge Park,,Y,Y,08000,,,OPERATING,20040824114700,Y,,,,,
339,2,,About half is young cottonwood stand ,,,,N,"Forest; Sequoia Ridge Park, 15245 80 Ave",0,317,1001438844,Mature,Deciduous,3,15245,0,,2,0711-000000312,West half of lot,,PARKS,,044,,20140110,Forest-deciduous,"Sequoia Ridge Park, 15245 80 Ave",Park,PARKS,Sequoia Ridge Park,,Y,Y,08000,,,OPERATING,20040823091800,Y,,,,,
340,4,,Was not able to access S. portion of forest. ,,,,N,"Forest; Brooks Crescent Park, 6050 Brooks Cres",2,257,1001438848,Young,Deciduous,0,06050,0,,4,0711-000000160,Thin strip in E.,,Parks,,079,,20121016,Forest-deciduous,"Brooks Crescent Park, 6050 Brooks Cres",Park,Parks,Brooks Crescent Park,,Y,N,19485,,,OPERATING,20010827121300,N,,,,,
341,1,,Lots of Himalayan blackberry.  ,,,,N,"Forest; East View Park, 6135 190 St",2,1113,1001438849,Mature,Deciduous,0,06135,0,,4,0711-000000470,Patches and strips throughout park.,,PARKS,,078,,20121016,Forest-deciduous,"East View Park, 6135 190 St",Park,PARKS,East View Park,,Y,N,19000,,,OPERATING,20040824084800,N,,,,,
342,2,,Poor condition due to blk. bry. thru. out and  linear nature of lot    ,,,,N,"Forest; 67G - Greenbelt, 17884 68 Ave",0,288,1001438852,Mature,Deciduous,0,17884,0,,4,0711-000000085,"Mostly in S., larger section",,Parks,,067,,20121016,Forest-deciduous,"67G - Greenbelt, 17884 68 Ave",Park,Parks,67G - Greenbelt,,N,N,06800,,,OPERATING,20000831162900,N,,,,,
343,3,,"Ivy on grnd. and 8m up trunks of 20-30 mature alders; few encroachments; hemlock, paper birch, black cottonwood also present; see map for refuse, etc. locations ",,,,N,"Forest; Erma Stephenson Park, 15920 110 Ave",0,214,1001438706,Mature,Coniferous,0,15920,0,,2,0711-000000483,Small patches in N.E.,,PARKS,,014,,20121016,Forest-coniferous,"Erma Stephenson Park, 15920 110 Ave",Park,PARKS,Erma Stephenson Park,,N,N,11000,,,OPERATING,20040824091300,N,,,,,
344,3,,,,,20130720,N,"Forest; Semiahmoo Trail - 103B, 3314 144 St",0,3262,1001606927,Mature,Mixed,1,03314,,20130401,4,,Whole lot,16,Parks,,103,,20140116,Forest-mixed,"Semiahmoo Trail - 103B, 3314 145 St",Park,Parks,Semiahmoo Trail - 103B,,N,Y,14400,,,OPERATING,,N,,,,,
345,2,,"See map for yard waste, refuse and invasive spp. locations; several cedar present with dbh of 1m +; could use some replanting since streambanks have suffered some erosion. ",,,,N,"Forest; 62A - Greenbelt, 13705 68 Ave",0,378,1001438916,Mature,Mixed,0,13705,0,,3,0711-000000357,Whole lot,,PARKS,,062,,20121016,Forest-mixed,"62A - Greenbelt, 13705 68 Ave",Park,PARKS,62A - Greenbelt,,Y,Y,06800,,,OPERATING,20040823110400,N,,,,,
346,3,,,,,20161114,N,"Shrubland; Sunrise Ridge Park,18725 58 Ave",0,1124,1001896548,,,0,18725,,20160620,4,1001580785,entire lot,173,Parks,,078,,20170126,Shrubland,"Sunrise Ridge Park, 18725 58 Ave",Park,Parks,Sunrise Ridge Park,,N,N,05800,,,OPERATING,,N,,,,,
347,1,,,,,20160620,N,"Forest; Kabaddi Park, 7017 122 St",0,890,1001881229,Young,Deciduous,0,07017,0,,3,1001438724,S. edge of park,,PARKS,,060,,20161128,Forest-deciduous,"Kabaddi Park, 7017 122 St",Park,PARKS,Kabaddi Park,,N,N,12200,,,OPERATING,20040824100600,N,,,,,
348,2,,Himalayan blackberry in the open has moved into the forest a bit and there was some in-stream refuse. ,,,,N,"Forest; 42B - Greenbelt, 14329 86A Ave",0,550,1001438998,Mature,Deciduous,0,14329,0,,4,0711-000000284,Most of park,,PARKS,,042,,20170126,Forest-deciduous,"42B - Greenbelt, 14329 86A Ave",Park,PARKS,42B - Greenbelt,,Y,Y,08650,,,OPERATING,20040820145800,N,,,,,
349,1,,some major ivy and H. blackberry problems (mostly in understory alongside the trail) (see map).  ,,,,N,"Forest; 70D - Greenbelt, 12054 57A Ave",1,676,1001438921,Mature,Mixed,4,12054,0,,4,0711-000000375,Most of park,,PARKS,,070,,20121016,Forest-mixed,"70D - Greenbelt, 12054 57A Ave",Park,PARKS,70D - Greenbelt,,N,N,05750,,,OPERATING,20040823124100,Y,,,,,
350,1,,See map for yard waste location; lots of Himalayan blackberry in the understory. ,,,,N,"Forest; 72E - Greenbelt, 6385 138 St",0,387,1001438925,Mature,Mixed,0,06385,0,,4,0711-000000383,Most of park,,PARKS,,072,,20121016,Forest-mixed,"72E - Greenbelt, 6385 138 St",Park,PARKS,72E - Greenbelt,,N,Y,13800,,,OPERATING,20040823125800,N,,,,,
351,3,,Bad refuse area (refuse removed Nov/01)  ,,,,N,"Forest; 60B - Greenbelt, 7108 122 St",0,319,1001438932,Mature,Mixed,0,07108,0,,4,0711-000000354,Whole lot,,PARKS,,060,,20121016,Forest-mixed,"60B - Greenbelt, 7108 122 St",Park,PARKS,60B - Greenbelt,,N,Y,12200,,,OPERATING,20040823105700,N,,,,,
352,1,,Has several inv. spp. beginning to take hold; could also use some planting. ,,,,N,"Forest; 62E - Greenbelt, 14307 66 Ave",0,98,1001438940,Mature,Mixed,0,14307,0,,4,0711-000000360,Most of lot,,PARKS,,062,,20121016,Forest-mixed,"62E - Greenbelt, 14307 66 Ave",Park,PARKS,62E - Greenbelt,,Y,Y,06600,,,OPERATING,20040823111300,N,,,,,
353,2,,See map for yard waste and invasive spp. locations.  ,,,,N,"Forest; Huntington Park, 13111 21b Ave",0,3056,1001438779,Mature,Mixed,1,13111,0,,4,0711-000000502,Scattered around the park.,166,Parks,,121,,20170322,Forest-mixed,"Huntington Park, 13111 21b Ave",Park,Parks,Huntington Park,,Y,N,02170,,,OPERATING,20040824095100,Y,,,,,
354,2,,,,,20171206,N,"Forest; 26C - Greenbelt, 17510 104 Ave",1,580,1001970762,Mature,Mixed,0,17510,0,,3,1001439207,all of site,45,Parks,,026,,20121016,Forest-mixed,"26C - Greenbelt, 17510 104 Ave",Park,Parks,26C - Greenbelt,,Y,Y,10400,,,OPERATING,20090908100200,N,,,,,
355,1,,Him. bl. bry. along N. half W. edge; no riparian class on COSMOS but small waterway exists (runs N-S); class A creek starts S. of 88 Ave  ,,,,N,"Forest; 32K - Detention Pond, 14195 88 Ave",0,86,1001438948,Young,Deciduous,0,14195,0,,4,0711-000000269,E. edge,,PARKS,,032,,20121016,Forest-deciduous,"32K - Detention Pond, 14195 88 Ave",Park,PARKS,32K - Detention Pond,,Y,N,08800,,,OPERATING,20040820140000,N,,,,,
356,2,,,,,20130721,N,"Forest; Bear Creek Park, 13750 88 Ave",0,11901,1001606945,Young,Mixed,0,13750,,20130220,4,,Various large forests and smaller stands,91,Parks,,042,,20171027,Forest-mixed,"Bear Creek Park, 13750 88 Ave",Park,Parks,Bear Creek Park,,N,Y,08800,,,OPERATING,,N,,,,,
357,1,,"See map for refuse, invas's locat's; areas present ranging from young to overmature ",,,,N,"Forest; Fleetwood Dog-Off-Leash Park, 15452 84 Ave",0,881,1001438956,Mature,Deciduous,2,15452,0,,4,0711-000000203,Whole lot except N. grass area/pk. lot,,Parks,,044,,20121016,Forest-deciduous,"Freedom Dog-Off-Leash Park, 15452 84 Ave",Park,Parks,Freedom Dog-Off-Leash Park,,N,N,08400,,,OPERATING,20011211082400,Y,,,,,
358,2,,"Various yd. wst. piles in N. edge and in S.; Himal. bl. bry. w/in forest in N., severe presence in S., morning glory taking over some riparian plantings at S. end of 141 St; dead standinq alders present; cedar seedlings present in S. ",,,,N,"Forest; 42D - Greenbelt, 14069 84 Ave",0,762,1001438949,Mature,Deciduous,0,14069,0,,4,0711-000000287,1,,PARKS,,042,,20121016,Forest-deciduous,"42D - Greenbelt, 14069 84 Ave",Park,PARKS,42D - Greenbelt,,Y,Y,08400,,,OPERATING,20040820150600,N,,,,,
359,1,,English ivy climbing several trees; refuse and old retaining walls on steep bank along S.W. edge ,,,,N,"Forest; Ravine Park, 11282 Regal Dr",0,627,1001438951,Mature,Deciduous,0,11282,0,,4,0711-000000541,Whole lot,,PARKS,,019,,20121016,Forest-deciduous,"Ravine Park, 11282 Regal Dr",Park,PARKS,Ravine Park,,N,Y,09660,,,OPERATING,20040824111000,N,,,,,
360,2,,Lots of Himalayan blackberry in forest and some scotch broom in grassy area. ,,,,N,"Forest; Panorama Village Park, 14899 57 Ave",2,254,1001438966,Mature,Deciduous,2,14899,0,,2,0711-000000530,N. side of park,,PARKS,,073,,20121016,Forest-deciduous,"Panorama Village Park, 14899 57 Ave",Park,PARKS,Panorama Village Park,,N,N,05700,,,OPERATING,20040824104600,Y,,,,,
361,2,,Various encroachments; see map for above and yd. wst. locat's; cedar present in S.; 10 dead cutthroat trout (10-15cm) S. of 80 Ave culvert (notified environmental coord. for Surrey) ,,,,N,"Forest; 55C - Greenbelt, 16254 80 Ave",0,1513,1001438953,Mature,Deciduous,0,16254,0,,3,0711-000000341,Most of park,31,Parks,,055,,20130720,Forest-deciduous,"55C - Greenbelt, 16254 80 Ave",Park,Parks,55C - Greenbelt,,Y,Y,08000,,,OPERATING,20040823102700,N,,,,,
362,3,,,,,20161108,N,"Forest; 14D - Greenbelt, 15274 111A Ave",2,82,1001896220,Mature,Mixed,0,15340,,,3,1001756341,Entire lot,,Parks,,014,,20170126,Forest-mixed,"14D - Greenbelt, 15274 111A Ave",Park,Parks,14D - Greenbelt,,N,N,40101,,3,OPERATING,,N,,,,,
363,3,,,,,20161114,N,"Forest; 68H - Neighbourhood Park, 18590 70 Ave",0,1348,1001896590,Mature,Deciduous,2,18590,,20160612,2,1001721537,Most of park,116,Parks,,068,,20170126,Forest-deciduous,"68H - Neighbourhood Park, 18590 70 Ave",Park,Parks,68H - Neighbourhood,,Y,Y,07000,,,OPERATING,,N,,,,,
364,1,,"Fish ladder in N. of park; did not access lot (gate in N., no access thru. S.) ",,,,N,"Forest; 19A - Greenbelt, 9845 120 St",0,150,1001439146,Mature,Coniferous,0,09845,0,,3,0711-000000186,South of 2/3 lot,,PARKS,,019,,20121016,Forest-coniferous,"19A - Greenbelt, 9845 120 St",Park,PARKS,19A - Greenbelt,,N,Y,12000,,,OPERATING,20040820100700,N,,,,,
365,3,,,,,20110706,N,"Forest; 146D - Greenbelt, 224 172 St",0,375,1001439266,Mature,Coniferous,0,00224,0,,4,0711-000001120,entire site,82,Parks,,146,,20121016,Forest-coniferous,"146D - Greenbelt, 224 172 St",Park,Parks,146D - Greenbelt,,N,Y,17200,,,OPERATING,20110706062400,N,,,,,
366,3,,,,,20110706,N,"Forest; 115E - Greenbelt, 2704 162 St",0,550,1001439267,Mature,Coniferous,3,02704,0,,4,0711-000001121,entire site,113,Parks,,115,,20121016,Forest-coniferous,"115E - Greenbelt, 2704 162 St",Park,Parks,115E - Greenbelt,,N,N,16200,,,OPERATING,20110706063400,Y,,,,,
367,2,,,,,20110706,N,"Forest; 112S - Greenbelt, 14081 30a Ave",2,296,1001439268,Mature,Coniferous,0,14081,0,,3,0711-000001122,eastern portion of site,20,Parks,,112,,20121016,Forest-coniferous,"112S - Greenbelt, 14081 30a Ave",Park,Parks,112S - Greenbelt,,N,N,03050,,,OPERATING,20110706071700,N,,,,,
368,2,,,,,,N,"Forest; 147A - Greenbelt, 18038 8 Ave",0,200,1001439164,Mature,Coniferous,0,18038,0,,2,0711-000000590,,,Parks,,147,,20121016,Forest-coniferous,"147A - Greenbelt, 18038 8 Ave",Park,Parks,147A - Greenbelt,,N,Y,00800,,,OPERATING,20070228124200,N,,,,,
369,3,,,,,20081209,N,"Forest; 63E - Greenbelt, 6958 150 St",1,1038,1001439181,Mature,Mixed,1,06958,0,,4,0711-000001045,throughout most of site,9,Parks,,063,,20170301,Forest-mixed,"63E - Greenbelt, 6958 150 St",Park,Parks,63E - Greenbelt,,Y,N,15000,,,OPERATING,20081209082300,Y,,,,,
370,1,,Some cedar regen.; Himalayan blackberry constitutes most of understory. ,,,,N,"Forest; Arbutus Park - 62B, 7055 141 St",2,202,1001438930,Mature,Deciduous,0,07055,0,,4,0711-000000418,N. and W. sides.,,PARKS,,062,,20170301,Forest-deciduous,"Arbutus Park - 62B, 7055 141 St",Park,PARKS,Arbutus Park,,N,N,14100,,,OPERATING,20040823142100,N,,,,,
371,2,,Fragmented forest stands to W. of main forest are primarily deciduous; widespread English ivy in W. area of main forest stand (W. of Stewart farmhouse); forest edges near main buildings are somewhat cultured ,,,20120117,N,"Forest; Elgin Recreation Centre Grounds, 3530 144 St",0,387,1001439272,Mature,Deciduous,4,03530,0,,4,0711-000000481,Around perimeter.,,PARKS,,103,,20170301,Forest-deciduous,"Elgin Recreation Centre Grounds, 3530 144 St",Land,PARKS,Elgin Recreation Centre Grounds,,N,N,14400,,,OPERATING,20040824091000,Y,,,,,
372,3,,"Nature trail network by creek, N. of 8191 148A St",,,,N,"Forest; Enver Creek Park, 8232 148 St",0,2459,1001438705,Mature,Deciduous,0,08232,0,,3,0711-000000251,most of site,,Parks,,043,,20180122,Forest-deciduous,"43J - Greenbelt, 8232 148 St",Park,Parks,Enver Creek Park,,Y,Y,14800,,,OPERATING,20060406125800,N,,,,,
373,3,,,,,,N,"Grassland ; Enver Creek Park, 8170 146 St",0,583,1001439027,,,0,08170,0,,3,0711-000000260,Most of park except S. of school and wildland grass E. of school,,Parks,,043,,20180122,Grassland,"Enver Creek Park, 8170 146 St",Park,Parks,Enver Creek Park,,N,Y,14600,,,OPERATING,20060410103400,Y,,,,,
374,2,,,,,,N,"Grassland; Charles Richardson Nature Reserve, 16934 88 Ave",0,836,1001439135,,,0,16934,0,,2,0711-000000125,Majority of site at 8701 168 St,,Parks,,046,,20140110,Grassland,"Charles Richardson Nature Reserve, 16934 88 Ave",Park,Parks,Charles Richardson Nature Reserve,,N,Y,08800,,,OPERATING,20010815084200,Y,,,,,
375,2,,,,,20090916,N,"Shrubland; British Manor Park, 8194 144A St",0,1050,1001439230,,,0,08194,0,,3,0711-000001089,under hydro lines,0,Parks,,043,,20140110,Shrubland,"British Manor Park, 8194 144A St",Park,Parks,British Manor Park,,Y,Y,14450,,,OPERATING,20090916103800,N,,,,,
376,3,,,,,,N,"Forest; Kiyo Park, 9050 140 St",0,713,1001439156,Young,Mixed,0,09050,0,,3,0711-000000588,along creek,,Parks,,032,,20140116,Forest-mixed,"Kiyo Park, 9050 140 St",Park,Parks,Kiyo Park,,N,Y,14000,,,OPERATING,20061207170800,N,,,,,
377,2,,,,,20080212,N,"Forest; 53G - Greenbelt, 14492 75a Ave",1,198,1001439168,Mature,Mixed,0,14492,0,,3,0711-000001042,throughout site,0,Parks,,053,,20121016,Forest-mixed,"53G - Greenbelt, 14492 75a Ave",Park,Parks,53G - Greenbelt,,N,Y,07550,,,OPERATING,20080212131900,N,,,,,
378,2,,,,,20080220,N,"Forest; 62P - Greenbelt, 6430 141a St",1,227,1001439170,Young,Mixed,0,06430,0,,2,0711-000000593,,,Parks,,062,,20121016,Forest-mixed,"62P - Greenbelt, 6430 141a St",Park,Parks,62P - Greenbelt,,N,Y,14150,,,OPERATING,20080220130100,N,,,,,
379,3,,,,,20161114,N,"Forest; Winter Crescent Park, 3484 148 St",1,253,1001896550,Mature,Coniferous,1,03484,,20160203,3,,throughout site,119,Parks,,103,,20161114,Forest-coniferous,"Winter Crescent Park, 3484 148 St",Park,Parks,Winter Crescent Park,,N,N,14800,,,OPERATING,,Y,,,,,
380,4,,,,,20161130,N,"Forest; 40A - Greenbelt, 8361 128 St",0,134,1001898461,Mature,Deciduous,0,08361,,20160216,4,1001580792,entire lot,10,Parks,,040,,20161130,Forest-deciduous,"40A - Greenbelt, 8361 128 St",Park,Parks,40A - Greenbelt,,N,N,12800,,,OPERATING,,N,,,,,
381,1,,,,,,N,"Forest; M.J. Norris Park, 6539 129A St",0,128,1001438946,Young,Mixed,0,06539,0,,2,0711-000000517,S.W. corner.,,PARKS,,061,,20121016,Forest-mixed,"M.J. Norris Park, 6539 129A St",Park,PARKS,M.J. Norris Park,,N,N,12950,,,OPERATING,20040824101800,N,,,,,
382,1,,"Significant ivy problem, see map for location. ",,,,N,"Forest; 111B - Greenbelt, 13016 Crescent Rd",1,198,1001438963,Mature,Mixed,0,13016,0,,4,0711-000000209,All of lot,,Parks,,111,,20121016,Forest-mixed,"111B - Greenbelt, 13016 Crescent Rd",Park,Parks,111B - Greenbelt,,N,N,80403,,,OPERATING,20020717155300,N,,,,,
383,2,,"Significant amount of ivy present, see map for location. ",,,,N,"Forest; 111F - Greenbelt, 12922 Crescent Rd",1,468,1001438965,Mature,Mixed,0,12922,0,,3,0711-000000210,All of lot,,Parks,,111,,20121016,Forest-mixed,"111F - Greenbelt, 12922 Crescent Rd",Park,Parks,111F - Greenbelt,,N,Y,80403,,,OPERATING,20020717155800,N,,,,,
384,3,,See map for invasive spp. and yard waste locations; good cedar regen. ,,,,N,"Forest; 121C - Greenbelt, 1890 Laronde Drive",2,69,1001438972,Mature,Mixed,0,01890,0,,3,0711-000000110,East boundary,,PARKS,,121,,20121016,Forest-mixed,"121C - Greenbelt, 1890 Laronde Drive",Park,PARKS,121C - Greenbelt,,N,N,13120,,,OPERATING,20040819150000,N,,,,,
385,1,,Considerable dead & dying alder. ,,,,N,"Forest; Coyote Springs Park, 8108 164A St",1,349,1001438874,Mature,Deciduous,0,08108,0,,3,0711-000000315,Most of park,,PARKS,,045,,20160518,Forest-deciduous,"45C - Neighbourhood Park, 8108 164A St",Park,PARKS,"Coyote Springs Park, 8108 164A St",,N,N,16450,,,OPERATING,20040823092600,Y,,,,,
386,2,,See map for yard waste locations.     ,,,,N,"Forest; 116A - Greenbelt, 3100 176 St",1,343,1001438971,Young,Deciduous,0,03100,0,,2,0711-000000095,Patches along the walkway.,,PARKS,,116,,20161207,Forest-deciduous,"116A - Greenbelt, 3100 176 St",Park,PARKS,116A - Greenbelt,,N,N,17600,,,OPERATING,20040819144400,N,,,,,
387,1,,See map for invasive spp. locations. ,,,,N,"Forest; 11A - Greenbelt, 10927 Haddon Rd",0,292,1001438985,Mature,Deciduous,0,10927,0,,3,0711-000000172,All of park,,Parks,,011,,20161207,Forest-deciduous,"11A - Greenbelt, 10927 Haddon Rd",Park,Parks,11A - Greenbelt,,N,Y,13355,,,OPERATING,20010830101300,N,,,,,
388,1,,See map for invasive spp. and yard waste locations; good cedar regen. ,,,,N,"Forest; 120A - Greenbelt, 12617 Ocean Cliff Dr",1,672,1001438975,Mature,Coniferous,0,12617,0,,4,0711-000000099,All of park,,PARKS,,120,,20161207,Forest-coniferous,"120A - Greenbelt, 12617 Ocean Cliff Dr",Park,PARKS,120A - Greenbelt,,N,N,02105,,,OPERATING,20040819145600,Y,,,,,
389,2,,See map for invasive spp. location. ,,,,N,"Forest; 121E - Greenbelt - VIP Site, 12848 19a Ave",2,130,1001438977,Mature,Mixed,4,12848,0,,3,0711-000000114,N. section of park.,,PARKS,,121,,20161207,Forest-mixed,"121E - Greenbelt - VIP Site, 12848 19a Ave",Park,PARKS,121E - Greenbelt,,Y,N,01950,,,OPERATING,20040819152600,Y,,,,,
390,1,,See map for invasive spp. and yard waste locations.,,,,N,"Forest; 121K - Greenbelt, 13310 20 Ave",2,537,1001439054,Mature,Mixed,0,13310,0,,4,0711-000000068,most of site,,Parks,,121,,20161207,Forest-mixed,"121K - Greenbelt, 13310 20 Ave",Park,Parks,121K - Greenbelt,,N,N,02000,,,OPERATING,20060406091900,N,,,,,
391,2,,"Diverse spp.(fir, cottonwood, maple also present); alder fairly yng.; good native understory ",,,,N,"Forest; Fraser Heights Park, 10588 160 St",0,2629,1001438900,Mature,Mixed,1,10588,0,19930919,3,0711-000000094,Most of pk except for meadow area and playing fields,,Parks,,015,,20180418,Forest-mixed,"Fraser Heights Park, 10588 160 St",Park,Parks,Fraser Heights Park,,Y,Y,16000,,,OPERATING,20000919101900,Y,,,,,
392,2,,,,,,N,"Forest; Grandview Reservoir Grounds, 16666 24 Ave",1,651,1001439106,Mature,Coniferous,0,16666,0,,2,0711-000000491,1,,PARKS,,125,,20180418,Forest-coniferous,"Grandview Reservoir Grounds, 16666 24 Ave",Land,PARKS,Grandview Reservoir,,N,N,02400,,,OPERATING,20040824092700,N,,,,,
393,2,,,,,,N,"Forest; 112O - Greenbelt, 14080 30A Ave",2,164,1001438968,Mature,Deciduous,0,14080,0,,2,0711-000000073,Small stand in centre of lot.,,PARKS,,112,,20121016,Forest-deciduous,"112O - Greenbelt, 14080 30A Ave",Park,PARKS,112O - Greenbelt,,N,N,03050,,,OPERATING,20040819142500,N,,,,,
394,1,,See map for yard waste and invasive spp. locations.      ,,,,N,"Forest; 116B - Greenbelt, 17192 28 Ave",1,856,1001438974,Young,Deciduous,0,17192,0,,4,0711-000000096,All of park,,PARKS,,116,,20121016,Forest-deciduous,"116B - Greenbelt, 17192 28 Ave",Park,PARKS,116B - Greenbelt,,N,N,02800,,,OPERATING,20040819144800,N,,,,,
395,1,,Understory of Him. blk. bry. recently cleared; salmonbry. and blk. bry. returning; see map for other invasive locat's ,,,,N,"Forest; 11D - Greenbelt, 10915 133A St",0,265,1001438986,Young,Deciduous,0,10915,0,,3,0711-000000173,Whole lot,,Parks,,011,,20121016,Forest-deciduous,"11D - Greenbelt, 10915 133A St",Park,Parks,11D - Greenbelt,,N,Y,13350,,,OPERATING,20010830101500,N,,,,,
396,3,,,,,20090916,N,"Shrubland; 60D - Utility ROW, 12520 68 Ave",0,320,1001439229,,,0,12520,0,,2,0711-000000156,in site,,Parks,,060,,20121016,Shrubland,"60D - Utility ROW, 12520 68 Ave",Park,Parks,60D - Utility ROW,,Y,Y,06800,,,OPERATING,20010827110500,N,,,,,
397,1,,,,,20091006,N,"Grassland; Fergus Watershed Park, 1277 168 St",0,723,1001439236,,,0,01277,0,,0,0711-000001095,southwest corner and north middle of 1267 168 St,0,Parks,,135,,20121016,Grassland,"Fergus Watershed Park, 1277 168 St",Park,Parks,Fergus Watershed Park,,N,Y,16800,,,OPERATING,20091006135600,N,,,,,
398,4,,,,,,N,"Forest; 35A - Utility ROW, 9531 161 St",0,184,1001439161,Young,Deciduous,0,09531,0,,3,0711-000000584,at 9520 160 St portion of site,,Parks,,035,,20121016,Forest-deciduous,"35A - Utility ROW, 9531 161 St",Park,Parks,35A-Utility ROW,,N,Y,16100,,,OPERATING,20061207161500,N,,,,,
399,1,,Some young conifers on site; majority of understory is invasive spp.; much of forest is young alder. ,,,,N,"Forest; 43D - Greenbelt, 8418 144 St",0,196,1001439151,Mature,Deciduous,0,08418,0,,4,0711-000000296,Most of park,,PARKS,,043,,20121016,Forest-deciduous,"43D - Greenbelt, 8418 144 St",Park,PARKS,43D - Greenbelt,,N,Y,14400,,,OPERATING,20040823082600,N,,,,,
400,1,,"Significant refuse in the park, particularly along King Rd.; some ivy present (see map). ",,,,N,"Forest; Victoria Park, 14310 King Rd",0,2243,1001438952,Mature,Deciduous,0,14310,0,,3,0711-000000168,"Most of park, with exception of Hydro ROW.",22,Parks,,002,,20180119,Forest-deciduous,"Victoria Park, 14310 King Rd",Park,Parks,Victoria Park,,Y,Y,11645,,,OPERATING,20010830092000,N,,,,,
401,4,,,,,20180119,N,"Forest; Port Kells Park, 19340 88 Ave",0,2423,1001981048,Mature,Deciduous,0,19340,0,,2,1001438712,Most of park,97,PARKS,,049,,20180119,Forest-deciduous,"Port Kells Park, 19340 88 Ave",Park,PARKS,Port Kells Park,,Y,Y,08800,,,OPERATING,20040824105600,Y,,,,,
402,1,,Blackberry at frontage edges.  whole area is riparian buffer.  needs fill planting at 92a frontage.See map for yard waste locations.,,,,N,"Forest; Bothwell Park, 9208 164 St",0,508,1001439137,Mature,Mixed,0,09208,0,,1,0711-000000255,Whole area except small degraded area at 92A ave frontage.,,Parks,,035,,20170301,Forest-mixed,"Bothwell Park, 9208 164 St",Park,Parks,Bothwell Park,,N,Y,16400,,,OPERATING,20060406114800,N,,,,,
403,1,,,,,,N,"Forest; Nichol Estates Park, 7415 144 St",0,1414,1001438783,Mature,Deciduous,0,07415,0,,4,0711-000000522,Most of park,,PARKS,,052,,20170301,Forest-deciduous,"Nichol Estates Park, 7415 144 St",Park,PARKS,Nichol Estates Park,,Y,Y,14400,,,OPERATING,20040824103300,Y,,,,,
404,3,,,,,,N,"Shrubland; 31H - Utility ROW, 8985 Queen Mary Blvd",0,2672,1001438780,,,0,08985,0,,3,0711-000000128,under hydro lines,354,Parks,,031,,20140116,Shrubland,"31H - Utility ROW, 8985 Queen Mary Blvd",Park,Parks,31H - Utility ROW,,Y,Y,13040,,,OPERATING,20010816101400,N,,,,,
405,3,,,,,20080619,N,"Forest; 35E - Greenbelt, 16190 93a Ave",0,398,1001439176,Mature,Mixed,0,16190,0,,3,0711-000000596,through out site,,Parks,,035,,20121016,Forest-mixed,"35E - Greenbelt, 16190 93a Ave",Park,Parks,35E - Greenbelt,,N,N,09350,,,OPERATING,20080619085600,N,,,,,
406,3,,,,,20081215,N,"Forest; 75L - Greenbelt, 16379 60 Ave",1,256,1001439183,Mature,Mixed,0,16379,0,,4,0711-000001048,throughout most of site,126,Parks,,075,,20121016,Forest-mixed,"75L - Greenbelt, 16379 60 Ave",Park,Parks,75L - Greenbelt,,N,N,06000,,,OPERATING,20081215145500,N,,,,,
