,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,MATERIAL,OPERATOR,ROUTE_TYPE2,STATUS,TREES_PLANTED
638,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
639,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
640,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
641,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
642,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
643,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
644,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
645,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
646,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
647,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
648,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
649,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
650,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
651,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
652,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
653,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
654,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
655,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
656,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
657,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
658,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
659,Neighbourhood Bike Route,,Transportation,Port Mann - City Centre,Greenway,,,Bike Route,In Service,
660,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
661,Neighbourhood Bike Route,,,Port Mann- Surrey Centre NBR,,Asphalt,Engineering,Bike Route,In Service,No
662,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
663,Bike Lanes,,,,,,Engineering,Bike Route,In Service,
664,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
665,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
666,Bike Lanes,,Transportation,,Engineering,,,Bike Route,In Service,
667,Bike Lanes,,,,,,Engineering,Bike Route,In Service,
668,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
669,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
670,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
671,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
672,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
673,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
674,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
675,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
676,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
677,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
678,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
679,Neighbourhood Bike Route,,Local Connector,Fraser Heights Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,
680,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
681,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
682,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
683,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
684,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
685,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
686,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
687,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
688,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
689,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
690,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
691,Off-Street Multi-Use Pathway,,Multi-use,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
692,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
693,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
694,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
695,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
696,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
697,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
698,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
699,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
700,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
