,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,HABITAT,LEGACYID,LENGTH,LOCATION,MAINTENANCE_RESPONSIBILITY,MATERIAL,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,USE_LEVEL,WIDTH,YR
1289,,,,,(lbob new) ,,,,"P2 Path; Newton Athletic Park, 7395 - 128 St",,1001883960,,,,1001484820,,"from east of Field 4, along south side of fields,*",Parks,Asphalt,"Newton Athletic Park, 7395 128 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1290,,,,,Rubberized Path,,,,"P20 Path (Fitness Circuit); Newton Athletic Park, 7395 - 128 St",,1001883980,,,,,,near water park and washroom,Parks,Other,"Newton Athletic Park, 7395 128 St",Park,Parks,Parks,Surrey,,,,,,,P20,General Access and Recreation,In Service,,,3,2016
1291,,,,,,,,,"P21 Path; Newton Athletic Park, 7395 - 128 St",,1001883998,,,,,,throughout water park and washroom,Parks,Asphalt,"Newton Athletic Park, 7395 128 St",Park,Parks,Parks,Surrey,,,,,,,P21,General Access and Recreation,In Service,,,,2016
1292,,,,,,,,,"P1 Path; 73K - Greenbelt, 14489 59a Ave",,1001886095,,,,,,along west side of greenbelt,Parks,Asphalt,"73K - Greenbelt, 14489 59a Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,,,,2016
1293,,,,,,,,,"P3 Path; R.A. Nicholson Park, 12140 - 75A Ave",,1001886199,,,,,,south side of strawberry hill hall,Parks,Gravel,"R.A. Nicholson Park, 12140 75A Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,,,2.5,2016
1294,,,,,,,,,"P5 Path; T.E. Scott Park, 6998 148 St",,1001606383,,,,,,,Parks,Concrete,"T.E. Scott Park, 6998 148 St",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,,,,2009
1295,,,,,,,,,"P17 Path; Hawthorne Park, 10503 144 St",,1001606414,,,,,,south loop from P4 to washroom,Parks,Asphalt,"Hawthorne Park, 10503 144 St",Park,Parks,Parks,Surrey,,,,,,,P17,General Access and Recreation,In Service,,,,2012
1296,,,,,(lbob new) ,,,,"P1 Path; Holly Park, 10706 - 148 St",,1001608255,,,,1001485523,,Perimeter of Playground,Parks,Asphalt,"Holly Park, 10706 148 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1297,,,,,(lbob new) ,,,,"P7 Path; Sunnyside Park, 15455 - 26 Ave",,1001720728,,,,1001720727,,west exit of parking lot,Parks,,"Sunnyside Park, 15455 26 Ave",Park,Parks,Parks,Surrey,,,,,,,P7,Vehicle Access,In Service,No,,,2009
1298,,,,,(lbob new) ,,,,"P8 Path; Sunnyside Park, 15455 - 26 Ave",,1001720729,,,,1001720728,,south exit of parking lot,Parks,,"Sunnyside Park, 15455 26 Ave",Park,Parks,Parks,Surrey,,,,,,,P8,Vehicle Access,In Service,No,,,2009
1299,,,,,,,,,"P1 Path; 68H - Neighbourhood Park, 18590 70 Ave",,1001726601,,,,,,from 69 ave entrance to T1,Parks,Asphalt,"68H - Neighbourhood Park, 18590 70 Ave",Park,Parks,Parks,,,,A,,,,P1,General Access and Recreation,In Service,,,3,
1300,,,,,,,,,"P3 Path; 42C - Utility ROW, 14204 82a Ave",,1001953332,,,,1001484921,,,Parks,Concrete,"42C - Utility ROW, 14204 82a Ave",Park,Parks,Parks,Surrey,,,,3812-6040-00,,,P3,Walkway,In Service,No,,,2016
1301,,,,,(lbob new) ,,,,"P3 Path; Evershine Park, 12688 70 Ave",,1001953584,,,,1001953583,,throughout park site,Parks,Limestone,"Evershine Park, 12688 70 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
1302,,,,,(lbob new) ,,,,"P3 Path; Evershine Park, 12688 70 Ave",,1001953585,,,,1001953583,,throughout park site,Parks,Limestone,"Evershine Park, 12688 70 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
1303,,,,,,,,,"P7 Path; Evershine Park, 12688 70 Ave",,1001953586,,,,1001953583,,from 70 Ave entrance to games court,Parks,Asphalt,"Evershine Park, 12688 70 Ave",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2017
1304,,,,,,,,,"P8 Path; Evershine Park, 12688 70 Ave",,1001953587,,,,1001485761,,from P3 (west) to P3 (east),Parks,Asphalt,"Evershine Park, 12688 70 Ave",Park,Parks,Parks,Surrey,,,,,,,P8,General Access and Recreation,In Service,No,,,2009
1305,,,,,,,,,"P3 Path; Hazelgrove Park, 7080 190 St",,1001953679,,,,,,north end of site,Parks,Gravel,"Hazelgrove Park, 7080 190 St",Park,Parks,Parks,,,,,,,,P3,General Access and Recreation,In Service,,,,
1306,,,,,,,,,"P4 Path; Hazelgrove Park, 7080 190 St",,1001953681,,,,,,from strata to MUP,Parks,Asphalt,"Hazelgrove Park, 7080 190 St",Park,Parks,Parks,,,,,,,,P4,General Access and Recreation,In Service,,,,
1307,,,,,(lbob new) ,,,,"P4 Path; Fraser Wood Park - 15M, 10621 - Arbutus Wynd",,1001849208,,,,1001485328,,from Arbutus Wynd entrance throughout park,Parks,Gravel,"Fraser Wood Park, 10621 Arbutus Wynd",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
1308,,,,,,,,,"P1 Path; 69K - Greenbelt, 19501 68 Ave",,1001850328,,,,,,from 68 Ave to 68A Ave entrances,Parks,Asphalt,"69K - Greenbelt, 19501 68 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,,,4,
1309,,,,,,,,,"P1 Path; Hawthorne Square, 5751 176 St",,1001850346,,,,,,loop on west side of square,Parks,Asphalt,"Hawthorne Square, 5751 176 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,,,,
1310,,,,,(lbob new) ,,,,"T1 Trail; North Slope Buffer - Greenbelt, 11260 164 St",,1001855964,,,,1001485447,,Asphalt road or path running northwest - southeas*,Parks,Asphalt,"North Slope Buffer - Greenbelt, 11260 164 St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Vehicle Access,In Service,No,,4.3,2009
1311,,,,,(lbob new) ,,,,"P3 Path; Nichol Estates Park, 7415 144 St",,1001856728,,,,1001484849,,connects 142 St with park,Parks,Concrete,"Nichol Estates Park, 7415 144 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
1312,,,Off-Street Multi-Use Pathway,,,Multi-use,Quibble Creek Greenway,Greenway,"P1 Path (Quibble Creek Greenway); 22B - Utility ROW, 13900 100 Ave",,1001859272,,,,1001402507,,from 100 Ave south through site to Fraser Hwy,Parks,Asphalt,,,Parks,Parks,Surrey,,,,3805-6070-00,,,P1,Multi-use Pathway,In Service,,,,2007
1313,,,Off-Street Multi-Use Pathway,,,Multi-use,Cloverdale Greenway,Greenway,"P7 Path; Sunrise Ridge Park, 18725 58 Ave",,1001402502,,,,,,from 60 Ave at 18500 blk to 58 Ave at 18700 blk,Parks,Asphalt,"Sunrise Ridge Park, 18725 58 Ave",Park,Parks,Parks,Surrey,,,,3807-6080-00,,,P7,Multi-use Pathway,In Service,No,,,2012
1314,,,,,(lbob new) ,,,,"P5 Path; Sunrise Ridge Park, 18725 58 Ave",,1001485979,,,,,,from 185a St to P4,Parks,Asphalt,"Sunrise Ridge Park, 18725 58 Ave",Park,Parks,Parks,Surrey,,,,3807-6080-00,,,P5,General Access and Recreation,In Service,No,,,2012
1315,,,,,(lbob new) ,,,,"P1 Path; Barbara Creek Park, 15053 34 Ave",,1001485002,,,,,,from 34 Ave to forest edge and from 34a Ave to fo*,Parks,Concrete,"103A - Greenbelt, 15053 34 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1316,,,,,(lbob new) ,,,,"T3 Trail;  Redwood Park, 17900 20 Ave",,1001485497,,,,,,Continuation of T1 as it enters forest and become*,Parks,Gravel,"Redwood Park, 17900 20 Ave",Park,Parks,Parks,Surrey,,,A,,,,T3,Vehicle Access,In Service,No,,3,2009
1317,,,,,(lbob new) ,,,,"T4 Trail;  Redwood Park, 17900 20 Ave",,1001485498,,,,,,From south of treehouse area at forest edge to th*,Parks,Gravel,"Redwood Park, 17900 20 Ave",Park,Parks,Parks,Surrey,,,A,,,,T4,Vehicle Access,In Service,No,,2.7,2009
1318,,,,,(lbob new) T2 was split in March 2010... T98 used to be the north portion of T2 but T98 was made a Universal Access Path so was split from T2.,,,,"T2 Trail (Willow Trail); Green Timbers Urban Forest Park, 14698 96 Ave",,1001485503,,,,,,"From picnic area along east side of lake, around *",Parks,Gravel,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,Parks,Parks,Surrey,,,A,,,,T2,Vehicle Access,In Service,No,,3.5,2009
1319,,,,,(lbob new) ,,,,"P1 Path; Crescent Park, 2585 132 St",,1001485504,,,,,,from Crescent Rd near 128 St to forest edge to sm*,Parks,Limestone,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,,,,,P1,Vehicle Access,In Service,No,,,2009
1320,,,,,(lbob new) ,,,,"P1 Path; 24C - Greenbelt, 10295 - 158 St",,1001485519,,,,,,from 102b Ave to forest edge,Parks,Concrete,"24C - Greenbelt, 10295 158 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1321,,,,,(lbob new) ,,,,"P7 Path; Royal Kwantlen Park, 13035 - 104 Ave",,1001485522,,,,,,from east side of 106 Ave parking lot to forest e*,Parks,Limestone,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2009
1322,,,,,(lbob new) ,,,,"P2 Path; Holly Park, 10706 - 148 St",,1001485524,,,,,,from parking lot at around perimeter of pool,Parks,Asphalt,"Holly Park, 10706 148 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1323,,,,,(lbob new) ,,,,"P1 Path; Riverside Park, 14875 108A Ave",,1001485527,,,,,,east entrance to park at Oriole Dr,Parks,Concrete,"Riverside Park, 14875 108A Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1324,,,,,(lbob new) ,,,,"P6 Path; Blackie Spit, 3136 McBride Ave",,1001485000,,,,,,"In far west, parallel to Mc Bride Ave.",Parks,Gravel,"Blackie Spit, 3136 McBride Ave",Park,Parks,Parks,Surrey,,,,,,,P6,General Access and Recreation,In Service,No,,2,2009
1325,,,,,,,,,"P4 Path; Clayton Dog-Off-Leash Park, 7011 188 St",0710-000003272,1001744546,,,,,261,from northeast corner of park to east clayton sch*,Parks,Gravel,"Clayton Dog-Off-Leash Park, 7011 188 St",Park,Parks,Parks,,,,,,,,P4,General Access and Recreation,In Service,,,,
1326,,,,,(lbob new) ,,,,"P1 Path; Robertson Drive Park, 12730 - 92 Ave",,1001485393,,,,,,from Robertson Dr to Malcolm Pl and Buchanan Pl,Parks,Asphalt,"Robertson Drive Park, 12730 92 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1327,,,,,,Nature Trail,,,"T168 Trail; Green Timbers Park, 14255 96 Ave",,1001896457,,,,,,from play structures to T1,Parks,Gravel,"Green Timbers Park, 14255 96 Ave",Park,Parks,Parks,Surrey,,,C,,,,T168,Nature Trail,In Service,,,,
1328,,,,,,,Cascade Path,,"P1 Path; The Glades, 561 172 St",,1001744827,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",Park,Parks,Parks,,,,,,,,P1,General Access and Recreation,In Service,,,,
1329,,,,,,,Cottage Lane,,"P2 Path; The Glades, 561 172 St",,1001744828,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P2,General Access and Recreation,In Service,,,,
1330,,,,,,,,,"P3 Path; The Glades, 561 172 St",,1001744829,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P3,General Access and Recreation,In Service,,,,
1331,,,,,,,,,"P3 Path; Adams Road Park, 18160 68 Ave",,1001887012,,,,,,connects 67B Ave to 67A Ave,Parks,Gravel,"Adams Road Park, 18160 68 Ave",Parks,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,,,,2015
1332,,,,,(lbob new) ,,,,"P3 Path; Sullivan Heights Park, 6322 144 St",,1001887229,,,,1001486194,,around pond at 64 Ave & 146 St,Parks,Asphalt,"Sullivan Heights Park, 6322 144 St",Park,Parks,Parks,Surrey,,,,,,,P3,Walkway,In Service,No,,,2009
1333,,,,,,,,,"P1 Path; Surrey Animal Resource Centre, 17910 Colebrook Rd",,1001891212,,,,,,within site,Parks,Gravel,"Surrey Animal Resource Centre, 17910 Colebrook Rd",,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,,,,2016
1334,,,,,,,,,"P18; South Surrey Athletic Park, 1925 - 148 St",,1001896363,,,,,,From P7 to track,Parks,Gravel,"South Surrey Athletic Park, 1925 148 St",Park,Parks,Parks,Surrey,,,,,,,P18,General Access and Recreation,In Service,,,,
1335,,,,,,Nature Trail,,,"T100 Trail;  Redwood Park, 17900 20 Ave",0710-000003285,1001744817,,,,,250,From T15 through meadow to T72,Parks,Dirt,"Redwood Park, 17900 20 Ave",Park,Parks,Parks,,,,C,,,,T100,Nature Trail,In Service,,,,
1336,,,,,,Recreation,,,"T10 Trail; Hawthorne Park, 10503 144 St",,1001793658,,,,,,from P17 to SE corner of park off 144 St,Parks,Mulch,"Hawthorne Park, 10503 144 St",Park,Parks,Parks,Surrey,,,A,,,,T10,Nature Trail,In Service,,,,
1337,,,,,Fitness circuit entered as a path. Placeholder for when firtness circuit feature class arrives,,,,"P9 Path; Crescent Park, 2585 132 St",0710-000003296,1001744767,,,,,313,North of softball 1,Parks,Asphalt,"Crescent Park, 2585 132 St",Park,Parks,Parks,,,,A,,,,P9,General Access and Recreation,In Service,,,,
1338,,,,,,Recreation,,,"T104 Trail;  Redwood Park, 17900 20 Ave",0710-000003297,1001744784,,,,,20,between T17 and T5 Northwards,Parks,Gravel,"Redwood Park, 17900 20 Ave",Park,Parks,Parks,,,,A,,,,T104,Nature Trail,In Service,,,,
1339,,,,,,Recreation,,,"T1 Trail; Corrigan Park, 5921 126 St",0710-000003281,1001744785,,,,,216,from 126 St southern entrance to 125 St enterance,Parks,Gravel,"Corrigan Park, 5921 126 St",Park,Parks,Parks,,,,B1,,,,T1,Nature Trail,In Service,,,,
1340,,,,,,Recreation,,,"T3 Trail; Corrigan Park, 5921 126 St",0710-000003283,1001744786,,,,,182,west connection between T1 and T2,Parks,Gravel,"Corrigan Park, 5921 126 St",Park,Parks,Parks,,,,B1,,,,T3,Nature Trail,In Service,,,,
1341,,,,,,,,,"T6 Trail; Corrigan Park, 5921 126 St",0710-000003306,1001744806,,,,,37,from T4 to T7,Parks,Gravel,"Corrigan Park, 5921 126 St",Park,Parks,Parks,,,,B1,,,,T6,General Access and Recreation,In Service,,,,
1342,,,,,,Nature Trail,,,"T10 Trail; Invergarry Park, 14400 Currie Dr",0710-000003299,1001744807,,,,,438,from T1 to T5,Parks,Gravel,"Invergarry Park, 14400 Currie Dr",Park,Parks,Parks,,,,A,,,,T10,Nature Trail,In Service,,,,
1343,,,,,,Nature Trail,,,"T12 Trail; Invergarry Park, 14400 Currie Dr",0710-000003302,1001744808,,,,,42,connects T13 and T11,Parks,Gravel,"Invergarry Park, 14400 Currie Dr",Park,Parks,Parks,,,,A,,,,T12,Nature Trail,In Service,,,,
1344,,,,,,Nature Trail,,,"T11 Trail (Between Two Ferns Trail); Invergarry Park, 14400 Currie Dr",0710-000003300,1001744809,,,,,,Between Two Ferns Trail,Parks,Dirt,"Invergarry Park, 14400 Currie Dr",Park,Parks,Parks,,,,C,,,,T11,Nature Trail,In Service,,,,
1345,,,,,(lbob new) ,,,,"P2 Path; 112J - Greenbelt, 2521 - 139A St",,1001485008,,,,,,between forest edges in middle of site,Parks,Limestone,"112J - Greenbelt, 2521 139A St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1346,,,,,(lbob new) ,,,,"P1 Path; 112L - Walkway, 2531 - 140 St",,1001485009,,,,,,From 139a St ent to lane to 140 St ent,Parks,Limestone,"112L - Walkway, 2531 140 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1347,,,,,(lbob new) ,,,,"P2 Path; 112L - Walkway, 2531 - 140 St",,1001485010,,,,,,@ 139a St and 140 St entrances to path,Parks,Asphalt,"112L - Walkway, 2531 140 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1348,,,,,(lbob new) ,Recreation,,,"T6 Trail; Guy Richardson Park, 16940 Friesian Dr",,1001485022,,,,,,from T5 to T3 (forest edge),Parks,Gravel,"Guy Richardson Park, 16940 Friesian Dr",Park,Parks,Parks,Surrey,,,B1,,,,T6,Nature Trail,In Service,No,,,2009
1349,,,,,(lbob new) ,,,,"P1 Path; William Watson Park, 16510 80 Ave",,1001485047,,,,,,165 St entrance to site to grass area,Parks,Concrete,"William Watson Park, 16510 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1350,,,,,(lbob new) Resident said kids primarily use northern most trail for school due to it's apparent directness; this one is more open and safe so should be modified to encourage primary usage.,,,,"T1 Trail; Bay Ridge Park, 14284 18a Ave",,1001485049,,,,,,From 18 Ave. in north end of park through middle *,Parks,Gravel,"Bay Ridge Park, 14284 18a Ave",Park,Parks,Parks,Surrey,,,A,,,,T1,General Access and Recreation,In Service,No,,2,2009
1351,,,,,(lbob new) About 17m of asphalt at southeast end,,,,"T2 Trail; Fraser Heights Park, 10588 160 St",,1001485051,,,,,,"From school in west, southeast to Glenwood Dr.",Parks,Gravel,"Fraser Heights Park, 10588 160 St",Park,Parks,Parks,Surrey,,,A,,,,T2,General Access and Recreation,In Service,No,,1.8,2009
1352,,,,,(lbob new) Has bridge,Recreation,,,"T23 Trail; Crescent Park, 2585 132 St",,1001485061,,,,,,From T24 to south middle field,Parks,Gravel,"Crescent Park, 2585 132 St",Park,Parks,Parks,Surrey,,,A,,,,T23,Nature Trail,In Service,No,,1.8,2009
1353,,,,,(lbob new) ,,,,"P1 Path; 23D - Greenbelt, 14705 101 Ave",,1001485476,,,,,,At 101A Ave Entrance To Site,Parks,Concrete,"23D - Greenbelt, 14705 101 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
1354,,,,,(lbob new) ,,,,"P2 Path; Churchland Park, 5969 163a St",,1001485484,,,,,,from 60 Ave entrance to T1,Parks,Gravel,"Churchland Park, 5969 163a St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,1.5,2009
1355,,,,,,,Dawn Redwood Trail,,"P11 Path; The Glades, 561 172 St",,1001744835,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P11,General Access and Recreation,In Service,,,,
1356,,,,,,,,,"P10 Path;  Darts Hill Garden Park, 1660 168 St",,1001897252,,,,,,from 168 Ave entrance to house,Parks,Asphalt,"Darts Hill Garden Park, 1660 168 St",Park,Parks,Parks,Surrey,,,,,,,P10,Vehicle Access,In Service,,,,
1357,,,,,,,,,"P14 Path;  Darts Hill Garden Park, 1660 168 St",,1001897258,,,,,,North/South vehicle access from 16 Ave main entrance,Parks,Limestone,"Darts Hill Garden Park, 1660 168 St",Park,Parks,Parks,Surrey,,,,,,,P14,Vehicle Access,In Service,,,,
1358,,,,,,,,,"P13 Path;  Darts Hill Garden Park, 1660 168 St",,1001897265,,,,,,Access to south toolshed/workshop area,Parks,Limestone,"Darts Hill Garden Park, 1660 168 St",,Parks,Parks,Surrey,,,,,,,P13,Vehicle Access,In Service,,,,
1359,,,,,,,,,"P12 Path;  Darts Hill Garden Park, 1660 168 St",,1001897270,,,,,,throughout north area of gardens,Parks,Limestone,"Darts Hill Garden Park, 1660 168 St",Park,Parks,Parks,,,,,,,,P12,General Access and Recreation,In Service,,,,
1360,,,,,,,,,"P1 Path; 69I - Greenbelt, 7001 196 St",,1001897605,,,,,,walkway along the lot,Parks,Concrete,"69I - Greenbelt, 7001 196 St",Park,Parks,Parks,,,,,,,,P1,General Access and Recreation,In Service,,,,
1361,,,,,,,Azalea Walk,,"P4 Path; The Glades, 561 172 St",,1001744855,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P4,General Access and Recreation,In Service,,,,
1362,,,,,,,Duck Point Path,,"P5; The Glades, 561 172 St",,1001744830,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P5,General Access and Recreation,In Service,,,,
1363,,,,,,,Bamboo Grove,,"P6 Path; The Glades, 561 172 St",,1001744831,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P6,General Access and Recreation,In Service,,,,
1364,,,,,,,Totem Pole Lane,,"P7 Path; The Glades, 561 172 St",,1001744832,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P7,General Access and Recreation,In Service,,,,
1365,,,,,,,Hidden Path,,"P8 Path; The Glades, 561 172 St",,1001744833,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P8,General Access and Recreation,In Service,,,,
1366,,,,,,,Camellia Trail,,"P9 Path; The Glades, 561 172 St",,1001744545,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P9,General Access and Recreation,In Service,,,,
1367,,,,,,,Shelly's Shortcut,,"P10 Path; The Glades, 561 172 St",,1001744834,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P10,General Access and Recreation,In Service,,,,
1368,,,,,,,Heritage Walk,,"P12 Path; The Glades, 561 172 St",,1001744836,,,,,,in the park,Parks,Mulch,"The Glades, 561 172 St",,Parks,Parks,,,,,,,,P12,General Access and Recreation,In Service,,,,
1369,,,,,,Recreation,,,"T5 Trail; Hemlock Park, 9353 160 St",,1001802240,,,,,,North/South off T1 onto 92A Ave,Parks,Gravel,"Hemlock Park, 9353 160 St",Park,Parks,Parks,,,,B1,,,,T5,Nature Trail,In Service,,,,
1370,,,,,,,,,"Bridge #7 - Concrete; Green Timbers Urban Forest Pk, 14698 - 96 Ave",,1001935162,,,,,,South end of lake along T1,Parks,Concrete,"Green Timbers Urban Forest Pk, 14698 - 96 Ave",,Parks,,,,,,,,,7,Pedestrian Bridge,,,,,
1371,,,,,,,,,"Bridge #1 - Wood; Hawthorne Park, 10503 144 St",,1001935178,,,,,,along T2 west side,Parks,Wooden,"Hawthorne Park, 10503 144 St",,Parks,,,,,,,,,1,Pedestrian Bridge,,,,,
1372,,,,,,,,,"Bridge #2 - Wood; Hawthorne Park, 10503 144 St",,1001935179,,,,,,along T1 west side,Parks,Wooden,"Hawthorne Park, 10503 144 St",,Parks,,,,,,,,,2,Pedestrian Bridge,,,,,
1373,,,,,,Recreation,,,"T3 Trail (Semiahmoo Greenway); Semiahmoo Trail - 103B, 3314 145 St",,1001802235,,,,,,spur off of T1 near 32 Ave entrance,Parks,Gravel,"Semiahmoo Trail - 103B, 3314 145 St",Park,Parks,Parks,,,,A,,,,T3,Nature Trail,In Service,,,,
1374,,,,,,,,,"P3 Path; Beaver Creek Park, 12270 66 Ave",,1001802236,,,,,,North/South along P1 to 66 Ave,Parks,Asphalt,"Beaver Creek Park, 12270 66 Ave",Park,Parks,Parks,,,,,,,,P3,General Access and Recreation,In Service,,,,
1375,,,,,,,,,"P2 Path; Beaver Creek Park, 12270 66 Ave",,1001802237,,,,,,East/West along P1 and P3,Parks,Asphalt,"Beaver Creek Park, 12270 66 Ave",Park,Parks,Parks,,,,,,,,P2,General Access and Recreation,In Service,,,,
1376,,,,,,,,,"P4 Path; Beaver Creek Park, 12270 66 Ave",,1001802238,,,,,,North/South along P1,Parks,Asphalt,"Beaver Creek Park, 12270 66 Ave",Park,Parks,Parks,,,,,,,,P4,General Access and Recreation,In Service,,,,
1377,,,Mountain Bike Advanced,,,,,,"T13 Trail (Shovel Buster Trail); Invergarry Park, 14400 Currie Dr",0710-000003302,1001744810,,,,,42,connects T13 and T11,Parks,Gravel,"Invergarry Park, 14400 Currie Dr",Park,Parks,Parks,,,,A,,,,T13,Off Road Bike Recreation Trail,In Service,,,,
1378,,,,,1.5m boardway - PT wood deck with ground screw supports,,,,"Boardwalk #1; Bose Forest Park, 6203 164 St",,1001881470,,,,,,,Parks,Wooden,"Bose Forest Park, 6203 164 St",Park,Parks,,,,,,,,,1,Walkway,In Service,,,,
1379,,,Mountain Bike Expert,,,,,,"T14 Trail (Shovel Buster Trail); Invergarry Park, 14400 Currie Dr",0710-000003302,1001744811,,,,,42,connects T13 and T11,Parks,Gravel,"Invergarry Park, 14400 Currie Dr",Park,Parks,Parks,,,,A,,,,T14,Off Road Bike Recreation Trail,In Service,,,,
1380,,,,,,Recreation,,,"T5 Trail; Green Timbers Park, 14255 96 Ave",0710-000003303,1001744812,,,,,269,"from T2 to RCMP parking lot, connects to T6",Parks,Gravel,"Green Timbers Park, 14255 96 Ave",Park,Parks,Parks,,,,A,,,,T5,Nature Trail,In Service,,,,
1381,,,,,(lbob new) ,,,,"P2 Path; Bob Rutledge Park, 5424 - 148 St",,1001485006,,,,,,along south edge of site to court,Parks,Limestone,"Bob Rutledge Park, 5448 148 St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
1382,,,,,(lbob new) ,,,,"T1 Trail; 34A - Utility ROW, 15472 95A Ave",,1001485007,,,,,,Runs northwest - southeast through forest out to *,Parks,Gravel,"34A - Utility ROW, 15472 95A Ave",Park,Parks,Parks,Surrey,,,A,,,,T1,General Access and Recreation,In Service,No,,2,2009
1383,,,,,(lbob new) ,Recreation,,,"T1 Trail; Fraser Heights Park, 10588 160 St",,1001485011,,,,,,From 108 Ave. in north to T2,Parks,Limestone,"Fraser Heights Park, 10588 160 St",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.8,2009
1384,,,,,(lbob new) ,,,,"T4 Trail;  Sunrise Ridge Park - 78H, 18725 58 Ave",,1001485034,,,,,,From just T1 to northwest edge of forest,Parks,Gravel,"Sunrise Ridge Park, 18725 58 Ave",Park,Parks,Parks,Surrey,,,A,,,,T4,General Access and Recreation,In Service,No,,1.7,2009
1385,,,,,(lbob new) ,,,,"T1 Trail; Berkshire Park, 9283 154 St",,1001485038,,,,,,"Northeast corner of park, connects 154 St. to sch*",Parks,Limestone,"Berkshire Park, 9283 154 St",Park,Parks,Parks,Surrey,,,A,,,,T1,General Access and Recreation,In Service,No,,1.5,2009
