,AMANDA_ROWID,DESCRIPTION,PROJECT_NO,STATUS,WEBLINK
6432,862785,Rezoning from RA to RF and RF-12 in order to allow subdivision into 27 single family lots.,07-0081-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0081
6433,862990,Development Permit to modify existing fascia signage for one tenant within the Fleetwood Park Village Shopping Centre.,07-0082-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0082
6434,863133,Amend current liquor primary license in order to permit the expansion of the licensed area to include the concourse area of the bowling centre and to increase the inside person capacity from 60 to 200.,07-0083-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0083
6435,863373,to permit the development of approximately 12 townhouses,07-0085-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0085
6436,863520,"to permit subdivision into 19 RF-9C lots, a 30 unit townhouse development , and a greenway on the western portion of the property and a remnant parcel which will be incorporated into application number 7905-0406-00 for further townhouse development.
",07-0086-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0086
6437,863787,"Development Permit and Temporary Industrial Use Permit to allow for the operation of a trucking company and interim parking of vehicles over 5,000 kg. G.V.W. prior to completion of the proposed industrial building.",07-0088-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0088
6438,863822,Rezoning from RF to CD in order to increase the maximum floor area of the RF Zone to permit an addition to an existing single family dwelling.,07-0089-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0089
6439,863825,"OCP Amendment of portions from Urban to Suburban and Suburban to Urban; NCP Amendment to North Cloverdale West NCP;  Rezoning portions from A-1 to CD, RC and RF-12; DVP to vary house form, setbacks and fence height in order to allow subdivision into approx. 98 single family lots.",07-0090-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0090
6440,863909,Development variance permit required to relax floodproofing requirements in Crescent Beach.,07-0091-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0091
6441,863913,Development permit for replacement of a free-standing pylon sign.,07-0092-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0092
6442,864147,To subdivide into 6 single family lots,07-0093-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0093
6443,864175,"OCP Amendment of a portion from Urban to Multiple Residential; Rezoning from RF and RM-D to RM-70; Development Permit and Development Variance Permit in order to permit the development of 130 apartment units within two, 4-storey buildings.",07-0094-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0094
6444,864316,Development Variance Permit in order to permit the rear yard setback to be reduced from 7.5 metres (25 ft.) to 4.7 metres (15 ft.)  for an existing deck.,07-0095-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0095
6445,864348,Development Permit to permit the constuction of an industrial building. ,07-0096-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0096
6446,864361,OCP Amendment and Temporary Industrial Use Permit to declare the site a Temporary Industrial Use Permit Area in order to allow for a temporary truck parking facility for a period not to exceed 2 years.,07-0097-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0097
6447,864648,"Rezoning from RA to CD; Development Permit in order to permit the development of two, 4-storey apartment buildings consisting of 40 units each, in East Clayton.",07-0098-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0098
6448,864729, Restrictive Covenant Amendment in order to permit the development of a larger single family dwelling.,07-0099-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0099
6449,864741,To rezone from RH to RF and develop 3 single family lots,07-0100-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0100
6450,864973,To subdivide into three single family lots,07-0101-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0101
6451,865091,"OCP Amendment for a portion from Urban to Multiple Residential; NCP Amendment to allow for changes to the road layout; Rezoning a portion from PA-2 and RA to CD (based on RM-45); Development Permit in order to permit the development of two, 4-storey apartment buildings containing 89 dwelling units.",07-0102-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0102
6452,865098,Temporary Use Permit to allow temporary classrooms for a private school.,07-0103-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0103
6453,865493,OCP Amendment from Suburban to Urban; Rezoning from RA to CD  and Development Permit in order to permit the development of a 64-unit cluster housing development.,07-0105-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0105
6454,865659,"To amend CD b/l #15620 to a new CD zone in order to develop retail, restaurant and professional services on the site.  (changes to recently approved 7904-0393)",07-0107-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0107
6455,865913,"Development Permit and Development Variance Permit in order to permit the development of a multi-tenant warehouse building, including heavy truck repair and truck parking.",07-0109-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0109
6456,865960,To develop a 2550 square metre warehouse.,07-0110-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0110
6457,865966,To rezone from RA to PA-2 and consolidate with existing PA-2 site to south.,07-0111-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0111
6458,865977,Development Permit to permit development of one commercial retail unit in an existing shopping centre.,07-0112-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0112
6459,866127,OCP Amendment from Suburban to Multiple Residential; Rezoning from RA to RM-30; Development Permit in order to permit the development of 62 townhouse units.,07-0113-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0113
6460,866169,Heritage Revitalization Agreements in order to allow subdivision into three single family residential lots and to allow for the restoration and maintenance of three heritage houses.,07-0114-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0114
6461,866198,OCP Amendment of portions from Suburban to Multiple Residential and from Suburban to Agricultural; NCP Amendment of a portion from Suburban Residential Cluster 2 upa to Townhouse/Apartments 35 upa; Rezoning of a portion from A-1 to CD (based on RM-45); Development Permit; Non-farm Use and Subdivision within the ALR: Heritage Revitalization Agrreement in order to permit the development of approximately 253 units in 4 apartment builidngs with retention and restoration of the existing heritage farm structures.,07-0115-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0115
6462,866309,OCP Amendment from Suburban to Commercial; Rezoning from RA to C-8; Development Permit; DVP in order to permit the development of a 3-storey retail/professional office building and to increase the maximum allowable height from 12 metres (40 ft.) to 13 metres (43 ft.).,07-0116-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0116
6463,866743,Development Permit and Development Variance Permit in order to allow a free-standing sign and additional fascia signs on a commercial builidng.,07-0117-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0117
6464,867226,Development Permit to permit a second free-standing sign at the south driveway entrance to Hillcrest Village Shopping Centre located on Fraser Highway and 186 Street in North Cloverdale.,07-0118-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0118
6465,867253,To develop two industrial buildings totalling approx. 5453 sq. metres.,07-0119-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0119
6466,867277,Development Permit and Development Variance Permit in order to permit the development of a second storey addition to an existing commercial building in City Centre.,07-0120-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0120
6467,867301,Development Permit in order to allow a free-standing sign.,07-0121-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0121
6468,867333,Development Permit in order to permit the redevelpment of a commercial building into a multi-tenant shopping centre.,07-0122-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0122
6469,867348,"OCP Amendment from Urban to Multiple Residential; NCP Amendment from Neighbourhood Com. to Com./Residential; Rezoning from RA to CD; Development Permit in order to permit dev. of two, 3 and 4 storey buildings with 153 dwelling units and 1,261 sq.m. of commercial space.  ",07-0123-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0123
6470,867562,OCP Amendment from Suburban to Urban; Rezoning from RA to RF-12 in order to allow subdivision into three (3) single family sfmall lots. ,07-0124-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0124
6471,867614,Development Permit and Development Variance Permit to permit building modifcations to an existing  shopping centre.,07-0125-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0125
6472,867869,OCP Amendment from Suburban to Industrial; Rezoning from RA to CD (based on IB): Development Permit in order to permit the development of a 3-storey office building.,07-0127-00,Conditional Approval,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0127
6473,867910,Development Variance Permit to allow an additional fascia sign.,07-0128-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0128
6474,867916,"OCP Amendment; Partial Rezoning from RF and RM-D to CD (based on RM-30); Development Permit and Housing Agreement in order to permit the development of the first phase of  a private care facility for alcohol and drug recovery, consisting of 36 units and associated amenity space.",07-0129-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0129
6475,867961,To subdivide existing lot into two lots.,07-0130-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0130
6476,867975,"Development permit for construction of expanded 2nd floor for Building ""A"", to accommodate additional renal department beds.",07-0131-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0131
6477,868088,Rezoning from RM-D to RF-SD in order to permit the development of 3 semi-detached residential buildings on 6 small single family residential lots. ,07-0132-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0132
6478,868221,Rezoning from RF to CCR; Development Variance Permit in order to permit a child care centre within a single family dwelling for a maximum of 20 children.,07-0133-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0133
6479,868227,Rezone from C-8 to CD to permit a stand-alone liquor store.  DP to permit exterior renovations to the existing building.  DVP to reduce setback requirements to accommodate the siting of the existing building.,07-0134-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0134
6480,868233,To subdivide an existing RF-SS zoned lot into two lots.,07-0135-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0135
6481,868244,Development Variance Permit in order to permit a pylon sign advertising a business on the adjacent lot within the same shopping centre.,07-0136-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0136
6482,868468,Rezoning from RF to CD (based on RM-15) and Development Permit in order to permit the development of 15 townhouse units.,07-0138-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0138
6483,868577,to permit exterior upgrades to existing building,07-0139-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0139
6484,868879,to subdivide into two single family lots,07-0142-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0142
6485,868902,DP for free standing sign,07-0143-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0143
6486,868961,To subdivide existing lot into two lots.,07-0144-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0144
6487,869091,Development Permit and Development Variance Permit in order to allow the construction of a heavy truck sales and repair centre for a proposed industrial site.,07-0145-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0145
6488,869134,Development Permit in order to permit the exterior renovations of an existing commercial building.,07-0147-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0147
6489,869148,Rezoning from RA to RM-30; Development Permit in order to permit the development of a 14 unit townhouse project.,07-0148-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0148
6490,869367,Proposed 2 lot subdivision; house to be retained on proposed Lot 1.,07-0149-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0149
6491,870304,To subdivide existing two parcels into three lots.,07-0151-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0151
6492,870468,Rezone from RA to RF-12 to permit subdivision into approximately 21 single family small lots.,07-0152-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0152
6493,870665,Rezoning from RA to RF-9C in order to allow subdivision into approximately 22 small lots in East Clayton.,07-0153-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0153
6494,870734,"OCP Amendment for a portion of the site from Urban to Multiple Residential; NCP Amendment for a portion of the site from Cluster Housing to Garden Apartment; Rezoning from RA and A-1 to CD and RF; Development Permit in order to permit the development of an apartment complex consisting of five, 3-storey buildings containing 159 units.",07-0154-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0154
6495,870792,To vary building elevations in Crescent Beach.,07-0155-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0155
6496,870820,Proposed 2-lot subdivision within the ALR. CLOSED PER APPLICANT'S REQUEST,07-0156-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0156
6497,871112,OCP Amendment of a portion from Suburban to Urban; NCP Amendment of portions from Half-Acre Cluster to Urban Single Family and from Parks/Open Space to Half-Acre Cluster; Rezoning on portions from A-1 and RA to CD (based on RH-G) and RF; Development Permit and Development Variance Permit  in order to allow subdivision into 18 residential lots and one remainder parcel.,07-0158-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0158
6498,871314,"OCP Amendment of a portion from Suburban to Urban; NCP Amendment of portions from Half-Acre Cluster, from Open Space, from Single Family Residential, and Townhouse Cluster to Small Lots; Rezoning portions from A-1 to CD (based on RC), RF-12 and RA in order to allow subdivision into approx. 61 single family lots in North Cloverdale West.",07-0159-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0159
6499,871321,Amend existing CD Zone to permit establishment of a small non-profit school for children with autism.,07-0160-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0160
6500,871331,"OCP Amendment to declare the property a Temporary Commercial Use Permit Area.  Temporary Commercial Use Permit to permit a temporary sales centre for a nearby, recently approved residential high-rise development.",07-0161-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0161
6501,871554,To develop an office/warehouse building totalling 2892 sq. M.,07-0163-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0163
6502,871556,to permit the development of a 5604. sq.m. industrial building,07-0164-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0164
6503,871566,To remove five trees and replant in RC zone,07-0165-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0165
6504,871819,Development Permit and Development Variance Permit in order to permit the development of two multi-tenant industrial buildings and allow up to two (2) fascia signs on a non-premises frontage.,07-0166-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0166
6505,872197,To subdivide the existing lot into two residential lots.,07-0167-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0167
6506,872613,To subdivide two existing lots into three lots.,07-0168-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0168
6507,872955,"Development Permit for an Agricultural Buffer.  Development Variance Permit to relax height, setbacks and size of building in order to permit the installation and operation of grain distribution equipment.",07-0169-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0169
6508,873270,To rezone approx. 81 hectares from A-1 to IB-2.,07-0170-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0170
6509,873392,To subdivide existing lot into two lots.,07-0171-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0171
6510,873788,Development Variance Permit to reduce the minimum separation between principal buildings and accessory structures (garage) in the RF-9 Zone.,07-0172-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0172
6511,873801,Rezoning from CD to CD (based on RM-135) in order to permit the development of 637 apartment units within 3 high-rise buildings in Guildford.,07-0173-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0173
6512,873853,OCP Amendment of a portion of the site from Suburban to Urban; Rezoning from RA to RF-12; Development Permit in order to permit the development of approximately 6 small single family lots with an agricultural buffer.,07-0174-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0174
6513,874065,"OCP Amendment from Commercial to Multiple Residential; Rezoning from RA to CD (based on RM-45); Development Permit in order to permit the development of a 95-unit, 4-storey apartment building.",07-0175-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0175
6514,874307,"OCP Amendment from Suburban, Urban, Agricultural and Commercial to Multiple Residential; Rezoning from CPR, A-1, RA and C-5 to CD; Encroachment of the Agricultural Land Reserve for a road in order to permit a comprehensive residential development consisting of two, 7-storey apartment buildings containing approx. 343 apartments, 66 townhouses and public open space.",07-0176-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0176
6515,874355,"Rezoning from RF to CD (based on C-15); Development Permit in order to permit the development of a mixed-use development consisting of 169 residential units and approximately 3,162 square metres of commercial floor area,.",07-0177-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0177
6516,874478,Rezoning from RA to RF-12 and RF-9C in order to allow subdivision into three (3) single family small lots with coach housing and four (4) single family small lots.,07-0178-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0178
6517,874510,Partial Land Use Contract Discharge; Rezoning from RF to RF-12 in order to allow subdivision into two RF-12 lots.,07-0179-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0179
6518,874670,Rezoning from RF to RF-9C in order to allow subdivision into 6 small single family lots.,07-0180-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0180
6519,874892,OCP Amendment from Suburban and Industrial to Multiple Residential; Rezoning from RA to IB and RM-30; Development Permit and Development Variance Permit in order to permit the development of 73 townhouse units and a remnant lot for future industrial business park development.,07-0181-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0181
6520,875424,to permit the development of approximately 11 industrial (IB-1) lots. closed see 7908-0177-00,07-0182-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0182
6521,875441,"To increase hours of operation from 11 am to 1:00 AM Sunday to Thursday, Friday and Saturday 11: 00 AM to 2:00 AM",07-0183-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0183
6522,875563,to subdivide into two single family lots,07-0184-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0184
6523,875588,Rezoning from RF-12 to CD in order to permit development of one single family lot.,07-0185-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0185
6524,875736,Rezoning from RF to RF-12 in order to allow subdivision into two lots.,07-0187-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0187
6525,875739,Proposed 3-lot subdivision.   File inactive no response to the file closure letter,07-0188-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0188
6526,875933,Development Permit and Development Variance Permit in order to permit the development of a commercial building and relax building setbacks.,07-0189-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0189
6527,876508,Rezoning from RF to RF-12; Development Variance Permit in order to allow subdivision into three small single family lots.,07-0190-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0190
6528,876674,Development Permit and Development Variance Permit in order to pemit an addition to the existing industrial building.,07-0191-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0191
6529,876824,Rezoning from RA to CD; Development Variance Permit; and Heritage Alteration Permit in order to allow subdivision into 1 new bare land strata lot along Crescent and Elgin Roads and to relax the front yard for a column encroachment.,07-0192-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0192
6530,877635,"Development Permit and Development Variance Permit in order to permit the development of 3 commercial/retail buildings with a total floor area of 2,174 square metres (23,400 sq. ft.) and to reduce the required north side yard setback from 7.5 metres to 0 metre. ",07-0194-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0194
6531,877706,"Change of scope July 7, 2010:  18848 - 16 Avenue added to application.
Rezoning from CG-1 and A-1 to CD (based on CG-1) and Development Permit in order to permit the redevelopment of a gas station.",07-0195-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0195
6532,877987,Proposed 2-lot subdivision.,07-0196-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0196
6533,877995,Proposed 2-lot subdivision.,07-0197-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0197
6534,878053,"Development Permit, Development Variance Permit to relax the height of an accessory structure in order to permit the installation of a bridge crane for an existing steel processing and distribution business.",07-0198-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0198
6535,878103,Rezoning from RF to CD (based on RM-70) and Development Permit in order to permit the development of a four-storey apartment building.,07-0199-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0199
6536,878256,Rezoning from RA to CD (based on RM-15); Development Permit in order to permit the development of a 32-unit townhouse complex.,07-0200-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0200
6537,878370,Land Use Contract Discharge to allow the underlying C-8 Zone to regulate the site.,07-0201-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0201
6538,878380,Development Permit to allow construction of a glass canopy covering the west side patio of the Celtic Times Pub.,07-0202-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0202
6539,878750,"OCP Amendment from Urban to Multiple Residential; NCP Amendment from 15-25 upa (Medium to High Density) to 22-45 upa (High Density); Rezoning from RA to CD (based upon RM-45); Development Permit  in order to allow for the development of 4 townhous units, 49 apartmentunits and 23 ""carriage house"" units.",07-0204-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0204
6540,878773,"Partial NCP amendment from ""Townhouses 15 upa max"" to ""Townhouses 25 upa max""; Rezoning from RA to RM-30; Development Permit; Development Variance Permit in order to permit the development of nine (9) townhouse units. Subdivision into two lots.",07-0205-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0205
6541,878793,OCP Amendment from Suburban to Urban; Rezoning from RA to RF in order to allow subdivision into two (2) single family residential lots.,07-0206-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0206
6542,878867,to permit subdivsion into 2 half acre lots,07-0207-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0207
6543,878869,Development Variance Permit in order to allow one (1) additional fascia sign for one tenant in a new commercial development.,07-0208-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0208
6544,878929,OCP Amendment on a portion from Suburban to Urban; NCP Amendment on a portion from 10-15 upa ((Special Residential) and 15-25 upa (Medium-High Density) to 10-15 upa (Medium Density); Rezone a portion from RA to RF-SD and RF-9C in order to allow subdivision into 5 semi-detached residential buildings on 10 small single family lots and one remainder parcel.,07-0209-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0209
6545,879102,To subdivide into two lots,07-0210-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0210
6546,879222,Rezoning from RF to RF-12 in order to allow subdivision into 10 single family small lots.,07-0211-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0211
6547,879299,Rezoning from RA to RF-12 in order to allow subdivision into 4 single family small lots and one open space.,07-0213-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0213
6548,879378,Proposed rezoning from RF to CCR.  Discharge of LUC 450.,07-0214-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0214
6549,879611,Rezoning a portion from IL-1 to CHI; Development Permit and Development Variance Permit in order to allow the development of two highway commercial buildings.,07-0215-00,Closed,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0215
6550,879635,Development Variance Permit in order to vary Land Use Contact No. 124 to allow additional off-street parking spaces for the existing ICBC Claims Centre.,07-0217-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0217
6551,879779,Rezoning from RA to RF in order to allow subdivision into six (6) single family residential lots.,07-0220-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0220
6552,879798,"NCP Amendment on a portion from Business Park and Light Impact Industrial to Highway Commercial; Rezoning from IL-1 and IB-2 to CD (based on C-5, CHI, IL-1 and IB-2); Development Permit in order to permit the development of mixed-use business park with supporting commercial and retail uses.",07-0221-00,Initial Review,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0221
6553,879873,to permit subdivsion into 4 lots. ,07-0222-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0222
6554,879971,Development Permit and Development Variance Permit in order to permit the expansion of an existing bank and to permit one extra fascia sign.,07-0224-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0224
6555,880057,Development Variance Permit in order to permit the development of an accessory building with a height of 5.6 metres (18 ft.).,07-0225-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0225
6556,880192,Rezoning from RF and CHI to RF-12; Development Variance Permit to permit a reduced rear yard setback for a single family dwelling in order to retain trees; in order to allow subdivision into approximately 10 single family lots.,07-0226-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0226
6557,880284,Rezoning from RF to RF-9 in order to allow subdivision into approximately 11 small single family residential lots.,07-0227-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0227
6558,880366,Rezoning from RF to CD (based on RM-45); Development Permit in order to permit the development of a three-storey (51-unit) apartment building.,07-0228-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0228
6559,880454,Development Permit in order to allow changes to the free-standing sign of a multi-tenant industrial building.,07-0229-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0229
6560,880494,"Rezoning from RA to RM-30; Development Permit and Development Variance Permit in order to permit the development consisting of approximately 51 townhouse units.
",07-0230-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0230
6561,880496,"OCP Amendment from Suburban to Urban; Rezoning from RA to CD (based on RF) in order to allow subdivision into 4 Suburban Transition lots, riparian protection area and open space.",07-0231-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0231
6562,880523,to permit subdivision into 2 residential lots. ,07-0232-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0232
6563,880677,Development Permit in order to permit the expansion and exterior modification of an existing church and the installation of two free-standing signs.,07-0233-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0233
6564,880747,Rezoning from RH to CD (based on RH-G) in order to allow subdivision into two gross density type suburban residential lots.,07-0234-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0234
6565,880753,Development Variance Permit for signage.,07-0235-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0235
6566,880808,"To provide an overall design framework for proposed high-density, high-rise and low-rise residential development in the block bounded by 102A Avenue, 104 Avenue, 133 Street and 133A Street.",07-0236-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0236
6567,881270,Development Permit in order to renovate the facade of an existing industrial building and upgrade the landscaping.,07-0239-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=07&seq=0239
